"","site","plot","row","scale","x.1","x.2","x.3","x.4","y.1","y.2","y.3","y.4"
"1",1,1,1,2,2,2,4,4,0,2,2,0
"2",1,1,2,1,3,3,4,4,0,1,1,0
"3",1,1,3,0.5,3,3,3.5,3.5,0,0.5,0.5,0
"4",1,1,4,0.25,3,3,3.25,3.25,0,0.25,0.25,0
"5",1,1,5,0.25,3.25,3.25,3.5,3.5,0.25,0.5,0.5,0.25
"6",1,1,6,0.5,3.5,3.5,4,4,0,0.5,0.5,0
"7",1,1,7,0.25,3.5,3.5,3.75,3.75,0.25,0.5,0.5,0.25
"8",1,1,8,0.25,3.75,3.75,4,4,0,0.25,0.25,0
"9",1,1,9,1,3,3,4,4,1,2,2,1
"10",1,1,10,0.5,3,3,3.5,3.5,1,1.5,1.5,1
"11",1,1,11,0.25,3.25,3.25,3.5,3.5,1,1.25,1.25,1
"12",1,1,12,0.25,3.25,3.25,3.5,3.5,1.25,1.5,1.5,1.25
"13",1,1,13,0.5,3.5,3.5,4,4,1,1.5,1.5,1
"14",1,1,14,0.25,3.5,3.5,3.75,3.75,1.25,1.5,1.5,1.25
"15",1,1,15,0.25,3.75,3.75,4,4,1,1.25,1.25,1
"16",1,2,16,2,0,0,2,2,2,4,4,2
"17",1,2,17,1,0,0,1,1,3,4,4,3
"18",1,2,18,0.5,0,0,0.5,0.5,3,3.5,3.5,3
"19",1,2,19,0.25,0,0,0.25,0.25,3.25,3.5,3.5,3.25
"20",1,2,20,0.25,0.25,0.25,0.5,0.5,3.25,3.5,3.5,3.25
"21",1,2,21,0.5,0.5,0.5,1,1,3,3.5,3.5,3
"22",1,2,22,0.25,0.5,0.5,0.75,0.75,3,3.25,3.25,3
"23",1,2,23,0.25,0.5,0.5,0.75,0.75,3.25,3.5,3.5,3.25
"24",1,2,24,1,1,1,2,2,3,4,4,3
"25",1,2,25,0.5,1.5,1.5,2,2,3,3.5,3.5,3
"26",1,2,26,0.25,1.5,1.5,1.75,1.75,3,3.25,3.25,3
"27",1,2,27,0.25,1.5,1.5,1.75,1.75,3.25,3.5,3.5,3.25
"28",1,2,28,0.5,1.5,1.5,2,2,3.5,4,4,3.5
"29",1,2,29,0.25,1.75,1.75,2,2,3.5,3.75,3.75,3.5
"30",1,2,30,0.25,1.75,1.75,2,2,3.75,4,4,3.75
"31",1,2,31,4,0,0,4,4,0,4,4,0
"32",1,3,32,2,2,2,4,4,4,6,6,4
"33",1,3,33,1,2,2,3,3,4,5,5,4
"34",1,3,34,0.5,2.5,2.5,3,3,4,4.5,4.5,4
"35",1,3,35,0.25,2.5,2.5,2.75,2.75,4,4.25,4.25,4
