Row,Site,SiteNo,PlotNo,SubplotNo,SubplotRes,X,Y,BroDia,BroHor,TaeCap,CynEch,BroMad,LolMul,GalPar,MadSat,HypGla,GerDis,Lotus,Torilis,Bare,VulMyu,CroSet,VicSat,Clarkia,CarPac,DicCap,Centaurea,Solidago,MadSat,Gopher,Sidalcea,LacSer,BriMin,Asclepias,UnkForb(Cerastium?),Tritileia,CovDis,BranchedTarweed,EupSpa,WhiteGlume,Erodium,SoftThistle,AgoHet,RumCri,AnaArv,TriDub,TriHir,AchMil,AirCar,PetDub,TritileiaBlue,TriMicro,LinCil,GerDis,AveBar
1,SFREC,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SFREC,1,1,1,1,2,1,4,2,4,2,,1,2,3,,2,2,2,2,,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SFREC,1,1,1,0.5,1,1,4,2,4,2,,,2,2,,,2,3,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SFREC,1,1,1,0.25,1,1,4,2,4,1,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SFREC,1,1,2,0.25,2,2,3,2,4,,,,3,2,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SFREC,1,1,2,0.5,2,1,4,2,3,1,,1,2,3,,2,,,,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SFREC,1,1,3,0.25,1,2,4,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SFREC,1,1,4,0.25,2,1,3,2,2,,,1,2,3,,,,,,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SFREC,1,1,2,1,2,2,4,2,4,1,,1,3,3,,2,1,2,,,2,1,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SFREC,1,1,3,0.5,1,1,4,3,3,,,1,3,3,,2,,2,,,2,,2,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SFREC,1,1,5,0.25,2,1,2,2,2,,,1,3,3,,2,,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SFREC,1,1,6,0.25,2,2,3,2,2,,,,3,3,,,,2,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SFREC,1,1,4,0.5,2,1,4,2,4,1,,,3,2,,1,1,1,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SFREC,1,1,7,0.25,1,2,4,1,3,,,,3,,,1,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SFREC,1,1,8,0.25,2,1,4,2,4,,,,3,1,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SFREC,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SFREC,1,2,1,1,1,2,2,4,4,2,2,2,3,3,2,2,1,2,3,1,2,1,1,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,
18,SFREC,1,2,1,0.5,1,1,2,3,3,1,2,1,3,3,2,2,,1,3,,2,1,1,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,
19,SFREC,1,2,1,0.25,1,2,2,3,3,1,2,,3,3,1,,,1,3,,1,,1,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,
20,SFREC,1,2,2,0.25,2,2,,3,2,,,1,3,2,1,2,,,3,,2,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
21,SFREC,1,2,2,0.5,2,1,,4,4,1,2,,3,2,,,1,,3,1,2,1,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
22,SFREC,1,2,3,0.25,1,1,,4,3,,2,,3,,,,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SFREC,1,2,4,0.25,1,2,,4,4,,2,,2,2,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
24,SFREC,1,2,2,1,2,2,2,4,3,1,2,2,2,2,,2,2,2,2,,2,1,1,,1,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
25,SFREC,1,2,3,0.5,2,1,2,4,3,,1,2,2,,,,1,1,2,,2,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
26,SFREC,1,2,5,0.25,1,1,2,4,2,,,1,2,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SFREC,1,2,6,0.25,1,2,,4,3,,1,2,2,,,,,,2,,3,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
28,SFREC,1,2,4,0.5,2,2,2,4,3,,2,,3,,,,1,2,,,2,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
29,SFREC,1,2,7,0.25,2,1,1,4,3,,2,,3,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SFREC,1,2,8,0.25,2,2,3,3,3,,,,3,,,,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SFREC,1,2,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SFREC,1,3,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SFREC,1,3,1,1,1,1,2,4,4,2,3,2,2,3,,2,3,2,,1,3,,1,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
34,SFREC,1,3,1,0.5,2,1,,3,4,2,2,3,2,3,,1,2,2,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SFREC,1,3,1,0.25,1,1,,3,4,,1,2,3,4,,,,1,,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SFREC,1,3,2,0.25,1,2,,2,3,1,1,3,2,3,,,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SFREC,1,3,2,0.5,2,2,1,4,4,,2,2,2,3,,2,2,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SFREC,1,3,3,0.25,1,1,,3,3,,,2,3,3,,2,3,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SFREC,1,3,4,0.25,1,2,,4,3,,1,2,2,3,,3,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SFREC,1,3,2,1,2,1,3,4,4,2,2,4,2,2,1,2,3,2,3,1,2,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SFREC,1,3,3,0.5,1,1,2,4,4,2,1,3,3,3,1,2,2,1,4,1,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SFREC,1,3,5,0.25,2,1,2,4,2,2,,3,3,4,1,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SFREC,1,3,6,0.25,1,2,,4,3,1,,2,3,,,2,2,,3,1,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SFREC,1,3,4,0.5,1,2,1,4,4,1,2,3,1,,,1,2,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SFREC,1,3,7,0.25,2,1,1,4,4,1,,3,1,,,1,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SFREC,1,3,8,0.25,2,2,,4,4,,2,3,,,,,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SFREC,1,4,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
48,SFREC,1,4,1,1,1,2,2,2,4,,5,2,3,1,,,2,2,,,3,3,,,,2,,,,1,,,3,1,,,,,,,3,,,,,,,,,,,,,
49,SFREC,1,4,1,0.5,1,1,2,2,3,,4,,3,,,,,2,,,3,3,,,,3,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,
50,SFREC,1,4,1,0.25,1,1,2,2,4,,4,,3,,,,,,,,3,4,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
51,SFREC,1,4,2,0.25,1,2,2,2,,,4,,3,,,,,1,,,2,3,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
52,SFREC,1,4,2,0.5,2,2,2,2,5,,4,2,2,1,,,2,2,,,3,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
53,SFREC,1,4,3,0.25,1,2,2,2,5,,4,1,2,,,,3,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,SFREC,1,4,4,0.25,2,1,2,2,5,,4,,2,2,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SFREC,1,4,2,1,2,2,2,3,4,1,5,2,2,2,,,2,2,,,3,3,,2,1,,,2,,,,1,,,,,,,,,2,,,,,,,,,,,,,
56,SFREC,1,4,3,0.5,1,1,2,2,3,1,4,2,2,2,,,2,1,,,2,3,,2,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,
57,SFREC,1,4,5,0.25,1,1,2,2,3,1,5,1,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SFREC,1,4,6,0.25,1,2,2,2,3,,4,,2,3,,,2,,,,3,3,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
59,SFREC,1,4,4,0.5,2,2,1,3,4,,5,,1,2,,,2,,,,2,3,,2,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
60,SFREC,1,4,7,0.25,1,2,1,3,4,,5,,2,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
61,SFREC,1,4,8,0.25,2,2,,4,4,,5,,,2,,,,,,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,SFREC,1,4,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
63,SFREC,1,5,1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,SFREC,1,5,1,1,1,2,2,3,4,,4,,2,3,3,,2,2,3,,2,1,3,1,2,,,,,,,,,,2,,,,2,,1,,,,,,,,,,,,,
65,SFREC,1,5,1,0.5,1,2,2,3,4,,3,,1,3,,,3,,3,,2,,3,1,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,
66,SFREC,1,5,1,0.25,1,1,1,3,4,,3,,1,2,,,2,,2,,2,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
67,SFREC,1,5,2,0.25,1,2,2,1,4,,3,,1,3,,,3,,,,2,,2,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
68,SFREC,1,5,2,0.5,2,2,2,2,4,,3,,2,4,4,,,1,2,,,2,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
69,SFREC,1,5,3,0.25,2,1,,1,3,,3,,1,3,4,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
