block,plot,subplotres,subplotno,index,site_code,year,experiment_type,x,y,mid_x,mid_y,bl_x,ul_x,ur_x,br_x,bl_y,ul_y,ur_y,br_y
1,1,0.25,1,1,HREC,2016,observational,1,1,3.125,0.125,3,3,3.25,3.25,0,0.25,0.25,0
1,1,0.25,2,2,HREC,2016,observational,2,2,3.375,0.375,3.25,3.25,3.5,3.5,0.25,0.5,0.5,0.25
1,1,0.25,3,3,HREC,2016,observational,1,2,3.625,0.375,3.5,3.5,3.75,3.75,0.25,0.5,0.5,0.25
1,1,0.25,4,4,HREC,2016,observational,2,1,3.875,0.125,3.75,3.75,4,4,0,0.25,0.25,0
1,1,0.25,5,5,HREC,2016,observational,2,1,3.375,1.125,3.25,3.25,3.5,3.5,1,1.25,1.25,1
1,1,0.25,6,6,HREC,2016,observational,2,2,3.375,1.375,3.25,3.25,3.5,3.5,1.25,1.5,1.5,1.25
1,1,0.25,7,7,HREC,2016,observational,1,2,3.625,1.375,3.5,3.5,3.75,3.75,1.25,1.5,1.5,1.25
1,1,0.25,8,8,HREC,2016,observational,2,1,3.875,1.125,3.75,3.75,4,4,1,1.25,1.25,1
1,1,0.5,1,9,HREC,2016,observational,1,1,3.25,0.25,3,3,3.5,3.5,0,0.5,0.5,0
1,1,0.5,2,10,HREC,2016,observational,2,1,3.75,0.25,3.5,3.5,4,4,0,0.5,0.5,0
1,1,0.5,3,11,HREC,2016,observational,1,1,3.25,1.25,3,3,3.5,3.5,1,1.5,1.5,1
1,1,0.5,4,12,HREC,2016,observational,2,1,3.75,1.25,3.5,3.5,4,4,1,1.5,1.5,1
1,1,1,1,13,HREC,2016,observational,2,1,3.5,0.5,3,3,4,4,0,1,1,0
1,1,1,2,14,HREC,2016,observational,2,2,3.5,1.5,3,3,4,4,1,2,2,1
1,2,0.25,1,15,HREC,2016,observational,1,2,0.125,3.375,0,0,0.25,0.25,3.25,3.5,3.5,3.25
1,2,0.25,2,16,HREC,2016,observational,2,2,0.375,3.375,0.25,0.25,0.5,0.5,3.25,3.5,3.5,3.25
1,2,0.25,3,17,HREC,2016,observational,1,1,0.625,3.125,0.5,0.5,0.75,0.75,3,3.25,3.25,3
1,2,0.25,4,18,HREC,2016,observational,1,2,0.625,3.375,0.5,0.5,0.75,0.75,3.25,3.5,3.5,3.25
1,2,0.25,5,19,HREC,2016,observational,1,1,1.625,3.125,1.5,1.5,1.75,1.75,3,3.25,3.25,3
1,2,0.25,6,20,HREC,2016,observational,1,2,1.625,3.375,1.5,1.5,1.75,1.75,3.25,3.5,3.5,3.25
1,2,0.25,7,21,HREC,2016,observational,2,1,1.875,3.625,1.75,1.75,2,2,3.5,3.75,3.75,3.5
1,2,0.25,8,22,HREC,2016,observational,2,2,1.875,3.875,1.75,1.75,2,2,3.75,4,4,3.75
