Site,Block,Plot,SubplotRes,Subplot,SubplotX,SubplotY,CroSet,UnkApiaceae,UnkTarweed..CenMil..,VicSat,AnaArv,LacSer,LotWra,NotRanunc
HREC,1,1,2,1,2,1,,1,,,,,,NA
HREC,1,1,1,1,2,1,,,,,,,,NA
HREC,1,1,0.5,1,1,1,,,,,,,,NA
HREC,1,1,0.25,1,1,1,,,,,,,,NA
HREC,1,1,0.25,2,2,2,,,,,,,,NA
HREC,1,1,0.5,2,2,1,,,,,,,,NA
HREC,1,1,0.25,3,1,2,,,,,,,,NA
HREC,1,1,0.25,4,2,1,,,,,,,,NA
HREC,1,1,1,2,2,2,1,,,,,,,NA
HREC,1,1,0.5,3,1,1,1,,,,,,,NA
HREC,1,1,0.25,5,2,1,1,,,,,,,NA
HREC,1,1,0.25,6,2,2,0,,,,,,,NA
HREC,1,1,0.5,4,2,1,0,,,,,,,NA
HREC,1,1,0.25,7,1,2,0,,,,,,,NA
HREC,1,1,0.25,8,2,1,0,,,,,,,NA
HREC,1,2,2,1,1,2,X,,,,,,,NA
HREC,1,2,1,1,1,2,,,,,,,,NA
HREC,1,2,0.5,1,1,1,,,,,,,,NA
HREC,1,2,0.25,1,1,2,,,,,,,,NA
HREC,1,2,0.25,2,2,2,,,,,,,,NA
HREC,1,2,0.5,2,2,1,,,,,,,,NA
HREC,1,2,0.25,3,1,1,,,,,,,,NA
HREC,1,2,0.25,4,1,2,,,,,,,,NA
HREC,1,2,1,2,2,2,,,,,,,,NA
HREC,1,2,0.5,3,2,1,,,,,,,,NA
HREC,1,2,0.25,5,1,1,,,,,,,,NA
HREC,1,2,0.25,6,1,2,,,,,,,,NA
HREC,1,2,0.5,4,2,2,,,,,,,,NA
HREC,1,2,0.25,7,2,1,,,,,,,,NA
HREC,1,2,0.25,8,2,2,,,,,,,,NA
HREC,1,2,4,1,NA,NA,,,X,,,,,NA
HREC,1,3,2,1,2,3,X,,,X,X,,,NA
HREC,1,3,1,1,1,1,,,,,,,,NA
HREC,1,3,0.5,1,2,1,,,,,,,,NA
HREC,1,3,0.25,1,1,1,,,,,,,,NA
HREC,1,3,0.25,2,1,2,,,,,,,,NA
HREC,1,3,0.5,2,2,2,,,,,,,,NA
HREC,1,3,0.25,3,1,1,,,,,,,,NA
HREC,1,3,0.25,4,1,2,,,,,,,,NA
HREC,1,3,1,2,2,1,,,,,,,,NA
HREC,1,3,0.5,3,1,1,,,,,,,,NA
HREC,1,3,0.25,5,2,1,,,,,,,,NA
HREC,1,3,0.25,6,1,2,,,,,,,,NA
HREC,1,3,0.5,4,1,2,,,,,,,,NA
HREC,1,3,0.25,7,2,1,,,,,,,,NA
HREC,1,3,0.25,8,2,2,,,,,,,,NA
HREC,1,4,2,1,1,4,,,,,,,,NA
HREC,1,4,1,1,1,2,1,,,,,,,NA
HREC,1,4,0.5,1,1,1,,,,,,,,NA
HREC,1,4,0.25,1,1,1,,,,,,,,NA
HREC,1,4,0.25,2,1,2,,,,,,,,NA
HREC,1,4,0.5,2,2,2,,,,,,,,NA
HREC,1,4,0.25,3,1,2,,,,,,,,NA
HREC,1,4,0.25,4,2,1,,,,,,,,NA
HREC,1,4,1,2,2,2,,,,,,,,NA
HREC,1,4,0.5,3,1,1,,,,,,,,NA
HREC,1,4,0.25,5,1,1,,,,,,,,NA
HREC,1,4,0.25,6,1,2,,,,,,,,NA
HREC,1,4,0.5,4,2,2,,,,,,,,NA
HREC,1,4,0.25,7,1,2,,,,,,,,NA
HREC,1,4,0.25,8,2,2,,,,,,,,NA
HREC,1,4,4,1,NA,NA,,X,,,,,,NA
HREC,1,5,2,1,4,1,,,,,,,,NA
HREC,1,5,1,1,1,2,1,,,,,,,NA
HREC,1,5,0.5,1,1,2,,,,,,,,NA
HREC,1,5,0.25,1,1,1,,,,,,,,NA
HREC,1,5,0.25,2,1,2,,,,,,,,NA
HREC,1,5,0.5,2,2,2,,,,,,,,NA
HREC,1,5,0.25,3,2,1,,,,,,,,NA
HREC,1,5,0.25,4,2,2,,,,,,,,NA
HREC,1,5,1,2,2,2,,,,,,,,NA
HREC,1,5,0.5,3,1,2,,,,,,,,NA
HREC,1,5,0.25,5,1,1,,,,,,,,NA
HREC,1,5,0.25,6,1,2,,,,,,,,NA
HREC,1,5,0.5,4,2,1,,,,,,,,NA
HREC,1,5,0.25,7,1,2,,,,,,,,NA
HREC,1,5,0.25,8,2,2,,,,,,,,NA
HREC,1,6,2,1,3,2,,,,,,,,NA
HREC,1,6,1,1,1,2,,,,,,,,NA
HREC,1,6,0.5,1,1,2,,,,,,,,NA
HREC,1,6,0.25,1,1,1,,,,,,,,NA
HREC,1,6,0.25,2,2,1,,,,,,,,NA
HREC,1,6,0.5,2,2,2,,,,,,,,NA
HREC,1,6,0.25,3,2,1,,,,,,,,NA
HREC,1,6,0.25,4,2,2,,,,,,,,NA
HREC,1,6,1,2,2,2,1,,,,,,,NA
HREC,1,6,0.5,3,2,1,1,,,,,,,NA
HREC,1,6,0.25,5,1,1,1,,,,,,,NA
HREC,1,6,0.25,6,1,2,0,,,,,,,NA
HREC,1,6,0.5,4,2,2,1,,,,,,,NA
HREC,1,6,0.25,7,1,1,0,,,,,,,NA
HREC,1,6,0.25,8,1,2,0,,,,,,,NA
HREC,1,6,4,1,,,,,,,,,,
HREC,1,7,2,1,NA,NA,,,,,,,,NA
HREC,1,7,1,1,2,1,1,,,,,,,NA
HREC,1,7,0.5,1,2,1,0,,,,,,,NA
HREC,1,7,0.25,1,1,1,0,,,,,,,NA
HREC,1,7,0.25,2,2,1,0,,,,,,,NA
HREC,1,7,0.5,2,2,2,1,,,,,,,NA
HREC,1,7,0.25,3,1,2,0,,,,,,,NA
HREC,1,7,0.25,4,2,2,0,,,,,,,NA
HREC,1,7,1,2,1,2,1,,,,,,,NA
HREC,1,7,0.5,3,1,1,0,,,,,,,NA
HREC,1,7,0.25,5,1,1,,,,,,,,NA
HREC,1,7,0.25,6,2,2,,,,,,,,NA
HREC,1,7,0.5,4,1,2,,,,,,,,NA
HREC,1,7,0.25,7,1,1,,,,,,,,NA
HREC,1,7,0.25,8,1,2,,,,,,,,NA
HREC,1,8,2,1,4,4,,,,,,,,NA
HREC,1,8,1,1,1,2,1,,,,,,,NA
HREC,1,8,0.5,1,1,1,0,,,,,,,NA
HREC,1,8,0.25,1,1,2,0,,,,,,,NA
HREC,1,8,0.25,2,2,2,0,,,,,,,NA
HREC,1,8,0.5,2,2,1,1,,,,,,,NA
HREC,1,8,0.25,3,1,1,0,,,,,,,NA
HREC,1,8,0.25,4,2,2,0,,,,,,,NA
HREC,1,8,1,2,2,2,2,,,,,,,NA
HREC,1,8,0.5,3,1,2,1,,,,,,,NA
HREC,1,8,0.25,5,1,2,0,,,,,,,NA
HREC,1,8,0.25,6,2,1,0,,,,,,,NA
HREC,1,8,0.5,4,2,1,0,,,,,,,NA
HREC,1,8,0.25,7,1,2,0,,,,,,,NA
HREC,1,8,0.25,8,2,1,0,,,,,,,NA
HREC,1,8,4,1,NA,NA,,,,,,,,NA
HREC,2,1,2,1,2,1,,,,,,,,NA
HREC,2,1,1,1,2,1,,,,,,1,,NA
HREC,2,1,0.5,1,1,1,,,,,,0,,NA
HREC,2,1,0.25,1,1,1,,,,,,0,,NA
HREC,2,1,0.25,2,2,2,,,,,,0,,NA
HREC,2,1,0.5,2,2,1,,,,,,0,,NA
HREC,2,1,0.25,3,1,2,,,,,,0,,NA
HREC,2,1,0.25,4,2,1,,,,,,0,,NA
HREC,2,1,1,2,2,2,,,,,,1,,NA
HREC,2,1,0.5,3,1,1,,,,,,,,NA
