Site,Block,Plot,SubplotRes,SubplotNo,SubplotX,SubplotY,TaeCap,HolVir,CroSet
MCL,1,1,2,1,2,1,,,
MCL,1,1,1,1,2,1,5,2,
MCL,1,1,0.5,1,1,1,4,1,
MCL,1,1,0.25,1,1,1,3,0,
MCL,1,1,0.25,2,2,2,4,0,
MCL,1,1,0.5,2,2,1,5,2,
MCL,1,1,0.25,3,1,2,5,1,
MCL,1,1,0.25,4,2,1,3,0,
MCL,1,1,1,2,2,2,5,3,
MCL,1,1,0.5,3,1,1,4,3,
MCL,1,1,0.25,5,2,1,4,3,
MCL,1,1,0.25,6,2,2,4,3,
MCL,1,1,0.5,4,2,1,5,4,
MCL,1,1,0.25,7,1,2,4,3,
MCL,1,1,0.25,8,2,1,4,4,
MCL,1,2,2,1,1,2,,,
MCL,1,2,1,1,1,2,5,3,
MCL,1,2,0.5,1,1,1,5,3,
MCL,1,2,0.25,1,1,2,4,3,
MCL,1,2,0.25,2,2,2,5,2,
MCL,1,2,0.5,2,2,1,4,2,
MCL,1,2,0.25,3,1,1,4,1,
MCL,1,2,0.25,4,1,2,4,1,
MCL,1,2,1,2,2,2,3,3,
MCL,1,2,0.5,3,2,1,3,3,
MCL,1,2,0.25,5,1,1,3,1,
MCL,1,2,0.25,6,1,2,3,2,
MCL,1,2,0.5,4,2,2,3,3,
MCL,1,2,0.25,7,2,1,2,3,
MCL,1,2,0.25,8,2,2,3,2,
MCL,1,2,4,1,,,,,X
MCL,1,3,2,1,2,3,,,
MCL,1,3,1,1,1,1,4,2,
MCL,1,3,0.5,1,2,1,2,0,
MCL,1,3,0.25,1,1,1,2,0,
MCL,1,3,0.25,2,1,2,2,0,
MCL,1,3,0.5,2,2,2,4,2,
MCL,1,3,0.25,3,1,1,4,1,
MCL,1,3,0.25,4,1,2,3,2,
MCL,1,3,1,2,2,1,3,1,
MCL,1,3,0.5,3,1,1,3,1,
MCL,1,3,0.25,5,2,1,2,0,
MCL,1,3,0.25,6,1,2,2,0,
MCL,1,3,0.5,4,1,2,3,0,
MCL,1,3,0.25,7,2,1,3,0,
MCL,1,3,0.25,8,2,2,3,0,
MCL,1,4,2,1,1,4,,,
MCL,1,4,1,1,1,2,3,3,
MCL,1,4,0.5,1,1,1,3,3,
MCL,1,4,0.25,1,1,1,3,1,
MCL,1,4,0.25,2,1,2,3,2,
MCL,1,4,0.5,2,2,2,3,3,
MCL,1,4,0.25,3,1,2,3,2,
MCL,1,4,0.25,4,2,1,2,3,
MCL,1,4,1,2,2,2,3,3,
MCL,1,4,0.5,3,1,1,2,4,
MCL,1,4,0.25,5,1,1,1,4,
MCL,1,4,0.25,6,1,2,2,4,
MCL,1,4,0.5,4,2,2,3,2,
MCL,1,4,0.25,7,1,2,3,3,
