,Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,SiteVisit,Acmispon,AirCar,AmsMen,AnaArv,AveFat,Bare,BriMin,BroDia,BroHor,CarPac,CarPac?,Cerastium,CerGlo,ClaPur,Collinsia Pink Rosette,Corv,CroSet,CynEch,DaucPusil,Delphinium,Delphinium?,DelVar,EroCic,Erodium,FilGal,FuzzyBrush,Galpar,GalPar,GasVen,GerDis,Gilia,Gopher,Hole,HolVir,Hoof,HypGla,LargeBrush,LilUnk,LittleUnk,LolMul,Lotus,LupBic,Lupinus,MadGra,MedPol,MicCal,vPub,Paintbursh,PinkBrush,PlaNot,Plantago,Rock,SilGal,SisBel,SiSbel,TaeCap,TriAlbo,TriBlue,TriCupcake,TriDub,TriDub.1,TriEri,TriEri.1,TriFc,Trifolium,TriFuc,TriFuc.1,TriFucatum,TriGra,TriHir,TriPlate,TrIPlate,TriRef,TriRefLarge,TrIRefLarge,TriWhite,TriWil,TriWil?,TriWildenovii,Unk VicSat?,UnkFlower,UnkVetch,UnkWhorl,VicVel,VulMyu,Whitebrush,WhiteBrush
1041,MCL,3/29/2017,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,1,,,,,,,,,,2
1042,MCL,3/29/2017,1,1,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1043,MCL,3/29/2017,1,1,3,3,3,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,
1044,MCL,3/29/2017,1,1,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,MCL,3/29/2017,1,1,5,5,3,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,2,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1046,MCL,3/29/2017,1,1,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,MCL,3/29/2017,1,1,7,7,3,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,1,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
1048,MCL,3/29/2017,1,1,8,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,MCL,3/29/2017,1,1,9,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,3,,2,,,,2,,,,,,,,,,,,,,,,,,,,,
1050,MCL,3/29/2017,1,1,10,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1051,MCL,3/29/2017,1,1,11,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,
1052,MCL,3/29/2017,1,1,12,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,3,,,
1053,MCL,3/29/2017,1,1,13,5,4,1,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,
1054,MCL,3/29/2017,1,1,14,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,
1055,MCL,3/29/2017,1,1,15,7,4,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1056,MCL,3/29/2017,1,1,16,8,4,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
1057,MCL,3/30/2017,1,1,1,1,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,
1058,MCL,3/30/2017,1,1,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,2,,,1
1059,MCL,3/30/2017,1,1,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,3,,,
1060,MCL,3/30/2017,1,1,4,4,5,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,,,
1061,MCL,3/30/2017,1,1,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,
1062,MCL,3/30/2017,1,1,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,
1063,MCL,3/30/2017,1,1,7,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,
1064,MCL,3/30/2017,1,1,8,8,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,3,,,3
1065,MCL,3/30/2017,1,1,9,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,
1066,MCL,3/30/2017,1,1,10,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,4,,,
1067,MCL,3/30/2017,1,1,11,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,
