Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,TriWhite,MadGra,NavPub,TriPlate,ClaPur,LolMul,AnaArv,SilGal,TriHir,GalPar,
MCL,5/22/2017,1,1,1,1,1,,4,,3,,3,2,,,3,1,,,,,,,2,,
,,,,2,2,1,,4,,3,,2,3,2,2,0,2,,,,,,,4,,
,,,,3,3,1,,3,2,3,,3,2,3,3,5,,,,,,,,2,,
,,,,4,4,1,,3,,3,,3,2,3,3,4,,,,,,,,2,,
,,,,5,5,1,,3,2,2,,3,2,3,3,4,,,,,,,,2,,
,,,,6,6,1,,4,1,3,,3,2,4,4,4,2,1,3,,,,,1,,
,,,,7,7,1,,4,1,2,,3,2,,,3,,,,1,,,,2,,
,,,,8,8,1,,4,,2,,4,1,4,4,2,1,,,,,,,4,,
,,,,9,1,2,,3,,2,,3,2,,,6,1,,,,,,,2,,
,,,,10,2,2,,4,2,2,,3,3,,,5,2,,,,1,,,2,,
,,,,11,3,2,,3,,2,,3,4,,,5,2,,,,,,,3,,
,,,,12,4,2,,3,,3,,3,3,,,3,1,,2,,,,,2,,
,,,,13,5,2,,3,2,3,,2,2,,,6,2,,,,,2,1,1,,
,,,,14,6,2,,4,,2,,3,2,,,4,,,,,,,,1,,
,,,,15,7,2,,4,2,2,,4,2,2,2,4,,,,1,,,2,1,1,
,,,,16,8,2,,4,1,3,,4,2,,,2,,1,,1,,,,,1,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,TriWhite,TriHir,MadGra,ClaPur,LolMul,NavPub,TriPlate,GalPar,SilGal,AnaArv,TriRefLarge
MCL,5/22/2017,1,1,1,1,3,,2,,3,,3,2,,,6,1,,,,,,,,,
,,,,2,2,3,,3,,3,,2,2,,,3,,2,1,,,,,,,
,,,,3,3,3,,3,,3,,3,2,,,,1,2,,1,,,,,,
,,,,4,4,3,,3,,3,,3,2,3,3,4,,1,1,1,1,,,,,
,,,,5,5,3,,3,,3,,3,2,,,5,2,2,,2,,,,,,
,,,,6,6,3,,4,1,3,,3,2,3,3,,2,,2,2,2,1,,,,
,,,,7,7,3,,3,,2,,3,2,,,3,1,,,,1,4,,,,
,,,,8,8,3,,3,1,3,,3,2,,,3,2,,,,,3,1,,,
,,,,9,1,4,,2,1,3,,3,4,,,3,1,2,,,,,,,,
,,,,10,2,4,,4,1,3,,3,3,,,2,1,2,,,,,,1,,
,,,,11,3,4,,4,2,3,,3,3,,,,,2,1,,,2,1,2,1,
,,,,12,4,4,,3,,3,,3,3,,,,,1,1,1,2,2,,1,,
,,,,13,5,4,,3,,3,,4,2,,,,2,2,,,,3,,,,
,,,,14,6,4,,3,,2,,3,2,,,3,3,2,,,,1,,,,1
,,,,15,7,4,,3,,2,,3,2,,,6,2,,1,,,3,,,,
,,,,16,8,4,,4,,2,,3,2,,,3,3,,2,,,2,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,MadGra,TriWhite,TriHir,ClaPur,TriPlate,GalPar,LolMul,TriRefLarge,SilGal,,
MCL,5/22/2017,1,1,1,1,5,1,2,,3,,2,4,,,2,2,2,2,,,,,,,
,,,,2,2,5,,3,,3,,4,2,,,,,1,1,2,,,,,,
,,,,3,3,5,,2,,3,,4,2,,,1,,,,2,1,,,,,
,,,,4,4,5,,1,1,3,,4,3,,,1,,,,,1,,,,,
,,,,5,5,5,,3,,3,,4,3,,,,4,2,,,,1,,,,
,,,,6,6,5,,2,,3,,4,2,,,,3,4,,2,,,,,,
,,,,7,7,5,,3,,4,,4,3,,,,,4,,2,,,1,,,
,,,,8,8,5,,3,1,3,,2,3,,,,,2,1,,,,,,,
,,,,9,1,6,,2,,3,,3,3,2,2,1,,4,,,,1,,,,
,,,,10,2,6,1,3,,3,,4,2,,,2,,2,,4,,1,,,,
,,,,11,3,6,,2,2,4,,3,2,,,,,,,3,,,,,,
,,,,12,4,6,,1,,3,,4,3,,,,,1,,2,,,,1,,
,,,,13,5,6,,2,2,2,,4,4,,,,2,1,,3,,,,2,,
,,,,14,6,6,,2,2,3,,3,5,,,,,2,,,,,,2,,
,,,,15,7,6,,2,,3,,3,4,,,,,2,1,2,,,,,,
,,,,16,8,6,,3,1,3,,3,3,,,,,1,1,1,1,,,,,
Site,Date,Block,Plot,Subplot,X,Y,AveFat,AirCar,BriMin,BroHor,BroDia,TaeCap,VulMyu,Bare,Gopher,TriHir,TriWhite,TriPlate,ClaPur,MadGra,TriCupcake,LolMul,CynEch,SilGal,,
MCL,5/22/2017,1,1,1,1,7,,2,2,3,,5,2,,,3,,1,,1,,,,,,
,,,,2,2,7,2,1,1,3,,4,2,,,2,,3,,1,2,,,,,
,,,,3,3,7,2,2,1,3,,4,2,,,,,4,,,,,,,,
,,,,4,4,7,,3,,4,,4,2,,,1,,3,,,,1,,,,
,,,,5,5,7,,2,1,3,,4,3,,,2,2,2,,,,1,,,,
,,,,6,6,7,,2,,3,,3,4,,,1,2,2,,,,,,,,
,,,,7,7,7,,2,1,3,,4,5,,,,4,2,,,,,,,,
