Site,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Note,AirCar,AnaArv,Bare,BriMin,BroDia,BroHor,CarPac,CerGlo,ClaPur,CynEch,DaucPusil,EroCic,GalPar,GerDis,Gopher,HypGla,Lotus,Rock,TaeCap,TriHir,VulMyu,Acmispon,CroSet,LolMul,TriBlue,TriDub,Trifolium,AmsMen,FilGal,GasVen,LupBic,MicCal,PlaNot,Plantago,SisBel,TriAlbo,TriCupcake,TriEri,TriPlate,TriRefLarge,TriWil,WhiteBrush,Athysanus,AveBar,VicSat,BroMad,BroSter,CenSol,ClaPer,DicCap,ElyGla,EupSpa,GerMol,LacSer,LinPar,MadSat,Navarretia,Torilis,UnkGrass,YellowApiaceae,EroBot,Filago,Filago..Unk.,GalApa,GreenFuzzy,GreenSpiky,HyaGra,Hypericum,HypRad,LagMaj,LagMaj.1,LagMajor,LagMin,LagMinor,Lagophylla,Linanthus,Linanthus.sp.,LinBic,LinBic..Purple.,Lomatium,Longawn.Brome,Lotus.Hairy,Lotus.Sp,Lotus.Sp.,Lotus.Sp..1,LotusHairy,LotusSp,Mad.esque,Mad.Esque,Madea,Madea.esque,Madea.Esque,Medicago,NavPub,Oak,OakSeedling,Oligosperma,Onagraceae,PetDub,Poop.DEER.,Sherardia,SpikyHyp,SpkiyHypochaeris,Step,Trifolium..Unsure.,TriHya,TriLobe,TriLobed,Unk.Grass,Unk.Pin.4.plit.petals,UnkAster,UnkLargeAp.,UnkPink,Vicia..Sativa..,VicSat.1,VulMicro,WhiteFlower,WhiteLily,Yellow..Lagophylla.,YellowFlower,Index,AchMil,Achyracaena,AegTri,AgoHet,AthPus,BigYellow,BriMax,BroCar,CenMil,DiskSeed,Dung,ElymusHairy.,FuzzyGreen,GeraniumLarge,RanCal,Linanthus.Sp,Log,LongawnBrome,LotPur,LotusSmall,NasPul,NotGerMol,PurpleClover,PurpleCup,Red.Eriophyllium,RedLotus..pic.,SanBip,Scandix,Sedge,Sidalcea,TriRefHairy,TriReflexed,TriRefNoBract,TriRefSmall,UnkForb.photo..Vic.,White.Pink.Brush,Wood,Yellow.White.Brush,AveFat,CarPac.,Cerastium,Collinsia.Pink.Rosette,Corv,Delphinium,Delphinium.,DelVar,Erodium,FuzzyBrush,Galpar,Gilia,Hole,HolVir,Hoof,LargeBrush,LilUnk,LittleUnk,Lupinus,MadGra,MedPol,vPub,Paintbursh,PinkBrush,SilGal,SiSbel,TriDub.1,TriEri.1,TriFc,TriFuc,TriFuc.1,TriFucatum,TriGra,TrIPlate,TriRef,TrIRefLarge,TriWhite,TriWil.,TriWildenovii,Unk.VicSat.,UnkFlower,UnkVetch,UnkWhorl,VicVel,Whitebrush
MCL,1,1,1,1,1,,4,0,1,0,0,3,0,0,0,0,0,0,0,2,0,2,0,1,3,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0
MCL,1,1,2,2,1,,4,0,2,0,0,3,0,0,0,0,0,0,0,1,2,1,0,0,2,4,3,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCL,1,1,3,3,1,,3,0,3,2,0,3,0,0,0,0,0,0,0,2,3,5,0,0,3,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
MCL,1,1,4,4,1,,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,2,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
MCL,1,1,5,5,1,,3,0,3,2,0,2,0,0,0,0,0,0,0,1,3,0,0,0,3,2,2,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0
MCL,1,1,6,6,1,,4,0,4,1,0,3,0,0,0,0,0,0,0,1,4,3,0,0,3,1,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
MCL,1,1,7,7,1,,4,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,3,2,2,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0
MCL,1,1,8,8,1,,4,0,4,0,0,2,0,0,0,0,0,0,1,1,4,1,0,0,4,4,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0
MCL,1,1,9,1,2,,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,3,2,2,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0
MCL,1,1,10,2,2,,4,0,2,2,0,2,0,0,0,0,0,0,1,2,0,3,0,0,3,2,3,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0
