,SiteName,BlockNo,PlotNo,Subplot.No,Subplot.X,Subplot.Y,X4.waygrass,achmol,aegtri,agohet,aircar,amsmen,anaarv,astragalus,avebar,avefat,bare,brimax,brimin,brocar,brodia,brohor,bromad,broster,calcil,callut,calpar,cardamine,carpac,casatt,cenmil,cenmil..not..,cerglo,clapur,collinsia,conarv,croset,cynech,daucpusil,delgra,delvar,diccap,dicmul,elygla,erobot,eupspa,filgal,galapa,galpar,gerdis,germol,greenbrush,hypgla,laccil,lacser,lagophylla,latsph,linbic,linpar,lolmul,lomatium,longawnbrome,lotmic,lotpur,lotus,lotwra,lupbic,luzcom,madgra,miccal,naspul,navpub,notago,oak,petdub,pink.cup.opposite,plalan,planot,poasecunda,purplecup,purpleflower,rancal,rock,sanbip,scapec,shearv,shieldseed,sidalcea,sisbel,taecap,thycur,torilis,trialbo,tribif,tricil,tridub,trieri,trifuc,trigra,trihir,trihya,trilax,trimicroceph,trimicrodon,triwhite,triwil,triwra,unkforb,unktar,vicsat,vicvil,vulmyu,whiterib,whorledtarweed,wood,zigadenus
1025,HREC,1,1,1,1,1,,,4,,,,,,,,3,5,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1041,HREC,1,1,1,1,3,,,4,,,,,,1,,,5,,,,2,,,,,,,,,1,,,,,,,,1,,,1,,,,2,,,,1,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
1057,HREC,1,1,1,1,5,,,4,,,,,,1,,,5,,,2,2,,,,,,,,,,,,1,,,,,2,,,,,,1,,,,,1,,,,,,,2,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,2,,,2,,,,1,,,1,,,,,,,,1,,,,,,,2,,,,,,
1073,HREC,1,1,1,1,7,,,,,,,,,1,,,6,,,2,2,,,,,,,,,,,,2,,,,,2,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
1034,HREC,1,1,10,2,2,,,4,,,,,,1,,,4,,,1,3,,,,,,,,,1,,,,,,,,3,,,,,,1,1,,,,3,,,,,,,2,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,3,,,2,,,,1,,,2,,,,,,,,,,,,,,,2,,,,,,
1050,HREC,1,1,10,2,4,,,2,,,,,,1,,,5,,,4,2,,,,,,,1,,,,,1,,,,,2,,,,,,,1,,,,1,,,,,,,2,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
1066,HREC,1,1,10,2,6,,,,,,,,,1,,,5,,,2,3,,,,,,,,,1,,,,,,,,2,,,2,,,2,1,,,,1,,,,,,,,,,,,,1,,,,2,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
1082,HREC,1,1,10,2,8,,,,,,,,,1,,20,5,,,2,2,,,,,,,,,1,,,2,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,1,,,,2,,3,,,,,,,,,,,,,,15,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
1035,HREC,1,1,11,3,2,,,2,,,,,,2,,,5,,,2,4,,1,,,,,,,,,,2,,,,,2,,,,,,1,,,,1,3,,,,,,,2,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,2,,,2,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
1051,HREC,1,1,11,3,4,,,3,,,,,,2,,,5,,,1,2,,,,,,,,,,,,2,,,,,3,,,,,,,1,,,,2,1,,,,,,2,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,3,,,1,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,
