"","4-waygrass","achmol","aegtri","agohet","aircar","amsmen","anaarv","avebar","avefat","bare","brimax","brimin","brocar","brodia","brohor","bromad","broster","calcil","callut","calpar","carpac","cardamine","casatt","cenmil","cenmil (not?)","cerglo","clapur","conarv","croset","cynech","daucpusil","delvar","diccap","dicmul","elygla","erobot","eupspa","filgal","galpar","gerdis","greenbrush","hypgla","laccil","lacser","lagophylla","latsph","linpar","lolmul","lomatium","longawnbrome","lotmic","lotpur","lotwra","lotus","lupbic","luzcom","madgra","miccal","naspul","navpub","notago","petdub","plalan","planot","poasecunda","purplecup","purpleflower","rancal","trihir","rock","shearv","shieldseed","sidalcea","sisbel","taecap","torilis","tribif","trialbo","tricil","tridub","trieri","trifuc","trigra","trihya","trilax","trimicroceph","trimicrodon","triwhite","triwil","triwra","vicsat","unktar","vicvil","vulmyu","whiterib","whorledtarweed","zigadenus","collinsia","delgra","galapa","germol","astragalus","linbic","oak","pink cup opposite","sanbip","scapec","thycur","unkforb","wood"
"1025","","","4","","","","","","","3","5","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1041","","","4","","","","","1","","","5","","","","2","","","","","","","","","1","","","","","","","1","","1","","","","2","","","1","","","","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","2","","",""
"1057","","","4","","","","","1","","","5","","","2","2","","","","","","","","","","","","1","","","","2","","","","","1","","","","1","","","","","","2","","","","","","","","","3","","3","","","","","","","","","","","","","","","","2","","","1","","","1","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1073","","","","","","","","1","","","6","","","2","2","","","","","","","","","","","","2","","","","2","","","","","1","","","","1","","","","","","1","","","","","","","","","3","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","3","","",""
"1034","","","4","","","","","1","","","4","","","1","3","","","","","","","","","1","","","","","","","3","","","","","1","1","","","3","","","","","","2","","","","","","","","","2","","3","","","","","","","","","","","","","","","","2","","","1","","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","3","","",""
"1050","","","2","","","","","1","","","5","","","4","2","","","","","","1","","","","","","1","","","","2","","","","","","1","","","1","","","","","","2","","","","","","","","","2","","3","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","",""
"1066","","","","","","","","1","","","5","","","2","3","","","","","","","","","1","","","","","","","2","","2","","","2","1","","","1","","","","","","","","","","","1","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","3","","",""
"1082","","","","","","","","1","","20","5","","","2","2","","","","","","","","","1","","","2","","","","","","","","","2","","","1","","","","","","","1","","","","","1","","","","2","","3","","","","","","","","","","","","","15","","","1","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1035","","","2","","","","","2","","","5","","","2","4","","1","","","","","","","","","","2","","","","2","","","","","1","","","1","3","","","","","","2","","","","","","","","","3","","3","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1051","","","3","","","","","2","","","5","","","1","2","","","","","","","","","","","","2","","","","3","","","","","","1","","","2","","","","","","2","","","","","","","","","3","","3","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","3","","",""
