"","SiteName","BlockNo","PlotNo","Subplot No","Subplot X","Subplot Y","agohet","aircar","anaarv","bare","brimin","carpac","cardamine","cerglo","clapur","collinsia","cynech","daucpusil","delgra","delvar","diccap","erobot","eupspa","galapa","galpar","gerdis","germol","hypgla","latsph","astragalus","linbic","lomatium","lotmic","lupbic","miccal","oak","pink cup opposite","planot","rancal","rock","sanbip","scapec","shieldseed","sisbel","thycur","tricil","torilis","trialbo","trimicrodon","tribif","tridub","trieri","trifuc","trihir","unkforb","vicsat","casatt","wood"
"1","MCLA","1","1","1","1","1","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","MCLA","1","1","2","2","1","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","MCLA","1","1","3","3","1","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",""
"4","MCLA","1","1","4","4","1","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","MCLA","1","1","5","5","1","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","MCLA","1","1","6","6","1","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","MCLA","1","1","7","7","1","","","","20","","","","","","","","","","","","1","","","1","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"8","MCLA","1","1","8","8","1","","","","10","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","MCLA","1","1","9","1","2","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"10","MCLA","1","1","10","2","2","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",""
"11","MCLA","1","1","11","3","2","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","",""
"12","MCLA","1","1","12","4","2","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",""
"13","MCLA","1","1","13","5","2","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"14","MCLA","1","1","14","6","2","","","","","","","","","","","","","","","","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","MCLA","1","1","15","7","2","","","","10","","","","","","","","","","","","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","MCLA","1","1","16","8","2","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","MCLA","1","1","1","1","3","","","","","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"18","MCLA","1","1","2","2","3","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"19","MCLA","1","1","3","3","3","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",""
"20","MCLA","1","1","4","4","3","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",""
"21","MCLA","1","1","5","5","3","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","3","",""
"22","MCLA","1","1","6","6","3","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"23","MCLA","1","1","7","7","3","","","","","","","","","","","","","","","","3","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","MCLA","1","1","8","8","3","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","MCLA","1","1","9","1","4","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","",""
"26","MCLA","1","1","10","2","4","","","","7","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","",""
"27","MCLA","1","1","11","3","4","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","",""
"28","MCLA","1","1","12","4","4","","","","5","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","",""
