row,site,plot,subplotno,subplotres,mid_x,mid_y,bl_x,ul_x,ur_x,br_x,bl_y,ul_y,ur_y,br_y
1,1,1,1,2,3,1,2,2,4,4,0,2,2,0
2,1,1,1,1,3.5,0.5,3,3,4,4,0,1,1,0
3,1,1,1,0.5,3.25,0.25,3,3,3.5,3.5,0,0.5,0.5,0
4,1,1,1,0.25,3.125,0.125,3,3,3.25,3.25,0,0.25,0.25,0
5,1,1,2,0.25,3.375,0.375,3.25,3.25,3.5,3.5,0.25,0.5,0.5,0.25
6,1,1,2,0.5,3.75,0.25,3.5,3.5,4,4,0,0.5,0.5,0
7,1,1,3,0.25,3.625,0.375,3.5,3.5,3.75,3.75,0.25,0.5,0.5,0.25
8,1,1,4,0.25,3.875,0.125,3.75,3.75,4,4,0,0.25,0.25,0
9,1,1,2,1,3.5,1.5,3,3,4,4,1,2,2,1
10,1,1,3,0.5,3.25,1.25,3,3,3.5,3.5,1,1.5,1.5,1
11,1,1,5,0.25,3.375,1.125,3.25,3.25,3.5,3.5,1,1.25,1.25,1
12,1,1,6,0.25,3.375,1.375,3.25,3.25,3.5,3.5,1.25,1.5,1.5,1.25
13,1,1,4,0.5,3.75,1.25,3.5,3.5,4,4,1,1.5,1.5,1
14,1,1,7,0.25,3.625,1.375,3.5,3.5,3.75,3.75,1.25,1.5,1.5,1.25
15,1,1,8,0.25,3.875,1.125,3.75,3.75,4,4,1,1.25,1.25,1
16,1,2,1,2,1,3,0,0,2,2,2,4,4,2
17,1,2,1,1,0.5,3.5,0,0,1,1,3,4,4,3
18,1,2,1,0.5,0.25,3.25,0,0,0.5,0.5,3,3.5,3.5,3
19,1,2,1,0.25,0.125,3.375,0,0,0.25,0.25,3.25,3.5,3.5,3.25
20,1,2,2,0.25,0.375,3.375,0.25,0.25,0.5,0.5,3.25,3.5,3.5,3.25
21,1,2,2,0.5,0.75,3.25,0.5,0.5,1,1,3,3.5,3.5,3
22,1,2,3,0.25,0.625,3.125,0.5,0.5,0.75,0.75,3,3.25,3.25,3
23,1,2,4,0.25,0.625,3.375,0.5,0.5,0.75,0.75,3.25,3.5,3.5,3.25
24,1,2,2,1,1.5,3.5,1,1,2,2,3,4,4,3
25,1,2,3,0.5,1.75,3.25,1.5,1.5,2,2,3,3.5,3.5,3
26,1,2,5,0.25,1.625,3.125,1.5,1.5,1.75,1.75,3,3.25,3.25,3
27,1,2,6,0.25,1.625,3.375,1.5,1.5,1.75,1.75,3.25,3.5,3.5,3.25
28,1,2,4,0.5,1.75,3.75,1.5,1.5,2,2,3.5,4,4,3.5
29,1,2,7,0.25,1.875,3.625,1.75,1.75,2,2,3.5,3.75,3.75,3.5
30,1,2,8,0.25,1.875,3.875,1.75,1.75,2,2,3.75,4,4,3.75
31,1,2,1,4,2,2,0,0,4,4,0,4,4,0
32,1,3,1,2,3,5,2,2,4,4,4,6,6,4
33,1,3,1,1,2.5,4.5,2,2,3,3,4,5,5,4
34,1,3,1,0.5,2.75,4.25,2.5,2.5,3,3,4,4.5,4.5,4
35,1,3,1,0.25,2.625,4.125,2.5,2.5,2.75,2.75,4,4.25,4.25,4
36,1,3,2,0.25,2.625,4.375,2.5,2.5,2.75,2.75,4.25,4.5,4.5,4.25
37,1,3,2,0.5,2.75,4.75,2.5,2.5,3,3,4.5,5,5,4.5
38,1,3,3,0.25,2.625,4.625,2.5,2.5,2.75,2.75,4.5,4.75,4.75,4.5
39,1,3,4,0.25,2.625,4.875,2.5,2.5,2.75,2.75,4.75,5,5,4.75
40,1,3,2,1,3.5,4.5,3,3,4,4,4,5,5,4
41,1,3,3,0.5,3.25,4.25,3,3,3.5,3.5,4,4.5,4.5,4
42,1,3,5,0.25,3.375,4.125,3.25,3.25,3.5,3.5,4,4.25,4.25,4
43,1,3,6,0.25,3.125,4.375,3,3,3.25,3.25,4.25,4.5,4.5,4.25
44,1,3,4,0.5,3.25,4.75,3,3,3.5,3.5,4.5,5,5,4.5
45,1,3,7,0.25,3.375,4.625,3.25,3.25,3.5,3.5,4.5,4.75,4.75,4.5
46,1,3,8,0.25,3.375,4.875,3.25,3.25,3.5,3.5,4.75,5,5,4.75
47,1,4,1,2,1,7,0,0,2,2,6,8,8,6
48,1,4,1,1,0.5,7.5,0,0,1,1,7,8,8,7
49,1,4,1,0.5,0.25,7.25,0,0,0.5,0.5,7,7.5,7.5,7
50,1,4,1,0.25,0.125,7.125,0,0,0.25,0.25,7,7.25,7.25,7
51,1,4,2,0.25,0.125,7.375,0,0,0.25,0.25,7.25,7.5,7.5,7.25
52,1,4,2,0.5,0.75,7.75,0.5,0.5,1,1,7.5,8,8,7.5
53,1,4,3,0.25,0.625,7.875,0.5,0.5,0.75,0.75,7.75,8,8,7.75
54,1,4,4,0.25,0.875,7.625,0.75,0.75,1,1,7.5,7.75,7.75,7.5
55,1,4,2,1,1.5,7.5,1,1,2,2,7,8,8,7
56,1,4,3,0.5,1.25,7.25,1,1,1.5,1.5,7,7.5,7.5,7
57,1,4,5,0.25,1.125,7.125,1,1,1.25,1.25,7,7.25,7.25,7
58,1,4,6,0.25,1.125,7.375,1,1,1.25,1.25,7.25,7.5,7.5,7.25
59,1,4,4,0.5,1.75,7.75,1.5,1.5,2,2,7.5,8,8,7.5
60,1,4,7,0.25,1.625,7.875,1.5,1.5,1.75,1.75,7.75,8,8,7.75
61,1,4,8,0.25,1.875,7.875,1.75,1.75,2,2,7.75,8,8,7.75
62,1,4,1,4,2,6,0,0,4,4,4,8,8,4
63,1,5,1,2,7,1,6,6,8,8,0,2,2,0
64,1,5,1,1,6.5,1.5,6,6,7,7,1,2,2,1
65,1,5,1,0.5,6.25,1.75,6,6,6.5,6.5,1.5,2,2,1.5
66,1,5,1,0.25,6.125,1.625,6,6,6.25,6.25,1.5,1.75,1.75,1.5
67,1,5,2,0.25,6.125,1.875,6,6,6.25,6.25,1.75,2,2,1.75
68,1,5,2,0.5,6.75,1.75,6.5,6.5,7,7,1.5,2,2,1.5
69,1,5,3,0.25,6.875,1.625,6.75,6.75,7,7,1.5,1.75,1.75,1.5
70,1,5,4,0.25,6.875,1.875,6.75,6.75,7,7,1.75,2,2,1.75
71,1,5,2,1,7.5,1.5,7,7,8,8,1,2,2,1
72,1,5,3,0.5,7.25,1.75,7,7,7.5,7.5,1.5,2,2,1.5
73,1,5,5,0.25,7.125,1.625,7,7,7.25,7.25,1.5,1.75,1.75,1.5
74,1,5,6,0.25,7.125,1.875,7,7,7.25,7.25,1.75,2,2,1.75
75,1,5,4,0.5,7.75,1.25,7.5,7.5,8,8,1,1.5,1.5,1
76,1,5,7,0.25,7.625,1.375,7.5,7.5,7.75,7.75,1.25,1.5,1.5,1.25
77,1,5,8,0.25,7.875,1.375,7.75,7.75,8,8,1.25,1.5,1.5,1.25
78,1,6,1,2,5,3,4,4,6,6,2,4,4,2
79,1,6,1,1,4.5,3.5,4,4,5,5,3,4,4,3
80,1,6,1,0.5,4.25,3.75,4,4,4.5,4.5,3.5,4,4,3.5
81,1,6,1,0.25,4.125,3.625,4,4,4.25,4.25,3.5,3.75,3.75,3.5
82,1,6,2,0.25,4.375,3.625,4.25,4.25,4.5,4.5,3.5,3.75,3.75,3.5
83,1,6,2,0.5,4.75,3.75,4.5,4.5,5,5,3.5,4,4,3.5
84,1,6,3,0.25,4.875,3.625,4.75,4.75,5,5,3.5,3.75,3.75,3.5
85,1,6,4,0.25,4.875,3.875,4.75,4.75,5,5,3.75,4,4,3.75
86,1,6,2,1,5.5,3.5,5,5,6,6,3,4,4,3
87,1,6,3,0.5,5.75,3.25,5.5,5.5,6,6,3,3.5,3.5,3
88,1,6,5,0.25,5.625,3.125,5.5,5.5,5.75,5.75,3,3.25,3.25,3
89,1,6,6,0.25,5.625,3.375,5.5,5.5,5.75,5.75,3.25,3.5,3.5,3.25
90,1,6,4,0.5,5.75,3.75,5.5,5.5,6,6,3.5,4,4,3.5
91,1,6,7,0.25,5.625,3.625,5.5,5.5,5.75,5.75,3.5,3.75,3.75,3.5
92,1,6,8,0.25,5.625,3.875,5.5,5.5,5.75,5.75,3.75,4,4,3.75
93,1,6,1,4,6,2,4,4,8,8,0,4,4,0
94,1,7,1,2,5,5,4,4,6,6,4,6,6,4
95,1,7,1,1,4.5,5.5,4,4,5,5,5,6,6,5
96,1,7,1,0.5,4.25,5.25,4,4,4.5,4.5,5,5.5,5.5,5
97,1,7,1,0.25,4.125,5.125,4,4,4.25,4.25,5,5.25,5.25,5
98,1,7,2,0.25,4.375,5.375,4.25,4.25,4.5,4.5,5.25,5.5,5.5,5.25
99,1,7,2,0.5,4.25,5.75,4,4,4.5,4.5,5.5,6,6,5.5
100,1,7,3,0.25,4.125,5.625,4,4,4.25,4.25,5.5,5.75,5.75,5.5
101,1,7,4,0.25,4.125,5.875,4,4,4.25,4.25,5.75,6,6,5.75
102,1,7,2,1,5.5,4.5,5,5,6,6,4,5,5,4
103,1,7,3,0.5,5.75,4.25,5.5,5.5,6,6,4,4.5,4.5,4
104,1,7,5,0.25,5.625,4.125,5.5,5.5,5.75,5.75,4,4.25,4.25,4
105,1,7,6,0.25,5.875,4.125,5.75,5.75,6,6,4,4.25,4.25,4
106,1,7,4,0.5,5.75,4.75,5.5,5.5,6,6,4.5,5,5,4.5
107,1,7,7,0.25,5.625,4.875,5.5,5.5,5.75,5.75,4.75,5,5,4.75
108,1,7,8,0.25,5.875,4.875,5.75,5.75,6,6,4.75,5,5,4.75
109,1,8,1,2,7,7,6,6,8,8,6,8,8,6
110,1,8,1,1,6.5,7.5,6,6,7,7,7,8,8,7
111,1,8,1,0.5,6.25,7.25,6,6,6.5,6.5,7,7.5,7.5,7
112,1,8,1,0.25,6.125,7.375,6,6,6.25,6.25,7.25,7.5,7.5,7.25
113,1,8,2,0.25,6.375,7.375,6.25,6.25,6.5,6.5,7.25,7.5,7.5,7.25
114,1,8,2,0.5,6.75,7.25,6.5,6.5,7,7,7,7.5,7.5,7
115,1,8,3,0.25,6.625,7.125,6.5,6.5,6.75,6.75,7,7.25,7.25,7
116,1,8,4,0.25,6.875,7.375,6.75,6.75,7,7,7.25,7.5,7.5,7.25
117,1,8,2,1,7.5,7.5,7,7,8,8,7,8,8,7
118,1,8,3,0.5,7.25,7.75,7,7,7.5,7.5,7.5,8,8,7.5
119,1,8,5,0.25,7.125,7.875,7,7,7.25,7.25,7.75,8,8,7.75
120,1,8,6,0.25,7.375,7.625,7.25,7.25,7.5,7.5,7.5,7.75,7.75,7.5
121,1,8,4,0.5,7.75,7.25,7.5,7.5,8,8,7,7.5,7.5,7
122,1,8,7,0.25,7.625,7.375,7.5,7.5,7.75,7.75,7.25,7.5,7.5,7.25
123,1,8,8,0.25,7.875,7.125,7.75,7.75,8,8,7,7.25,7.25,7
124,1,8,1,4,6,6,4,4,8,8,4,8,8,4
125,2,1,1,2,3,10,2,2,4,4,9,11,11,9
126,2,1,1,1,3.5,9.5,3,3,4,4,9,10,10,9
127,2,1,1,0.5,3.25,9.25,3,3,3.5,3.5,9,9.5,9.5,9
128,2,1,1,0.25,3.125,9.125,3,3,3.25,3.25,9,9.25,9.25,9
129,2,1,2,0.25,3.375,9.375,3.25,3.25,3.5,3.5,9.25,9.5,9.5,9.25
130,2,1,2,0.5,3.75,9.25,3.5,3.5,4,4,9,9.5,9.5,9
131,2,1,3,0.25,3.625,9.375,3.5,3.5,3.75,3.75,9.25,9.5,9.5,9.25
132,2,1,4,0.25,3.875,9.125,3.75,3.75,4,4,9,9.25,9.25,9
133,2,1,2,1,3.5,10.5,3,3,4,4,10,11,11,10
134,2,1,3,0.5,3.25,10.25,3,3,3.5,3.5,10,10.5,10.5,10
135,2,1,5,0.25,3.375,10.125,3.25,3.25,3.5,3.5,10,10.25,10.25,10
136,2,1,6,0.25,3.375,10.375,3.25,3.25,3.5,3.5,10.25,10.5,10.5,10.25
137,2,1,4,0.5,3.75,10.25,3.5,3.5,4,4,10,10.5,10.5,10
138,2,1,7,0.25,3.625,10.375,3.5,3.5,3.75,3.75,10.25,10.5,10.5,10.25
139,2,1,8,0.25,3.875,10.125,3.75,3.75,4,4,10,10.25,10.25,10
140,2,2,1,2,1,12,0,0,2,2,11,13,13,11
141,2,2,1,1,0.5,12.5,0,0,1,1,12,13,13,12
142,2,2,1,0.5,0.25,12.25,0,0,0.5,0.5,12,12.5,12.5,12
143,2,2,1,0.25,0.125,12.375,0,0,0.25,0.25,12.25,12.5,12.5,12.25
144,2,2,2,0.25,0.375,12.375,0.25,0.25,0.5,0.5,12.25,12.5,12.5,12.25
145,2,2,2,0.5,0.75,12.25,0.5,0.5,1,1,12,12.5,12.5,12
146,2,2,3,0.25,0.625,12.125,0.5,0.5,0.75,0.75,12,12.25,12.25,12
147,2,2,4,0.25,0.625,12.375,0.5,0.5,0.75,0.75,12.25,12.5,12.5,12.25
148,2,2,2,1,1.5,12.5,1,1,2,2,12,13,13,12
149,2,2,3,0.5,1.75,12.25,1.5,1.5,2,2,12,12.5,12.5,12
150,2,2,5,0.25,1.625,12.125,1.5,1.5,1.75,1.75,12,12.25,12.25,12
