ColVal,NewVal
4-Way Grass,4-WayGrass
4-WayGrass,4-WayGrass
AchMil,AchMol
AchMol,AchMol
AegTri,AegTri
AgoHet,AgoHet
AirCar,AirCar
AmsMen,AmsMen
AnaArv,AnaArv
AveBar,AveBar
AveFat,AveFat
Bare,Bare
BrIMax,BriMax
BrImax,BriMax
BriMax,BriMax
BriMin,BriMin
BriMin.1,BriMin
BroCar,BroCar
BroDia,BroDia
BroHor,BroHor
BroMad,BroMad
BroSter,BroSter
CalCil,CalCil
CalLut,CalLut
CalPar,CalPar
CarPac,CarPac
Cardamine,Cardamine
Cardamine oligosperma,Cardamine
CasAtt,CasAtt
CenMil,CenMil
CenMil (Not?),CenMil (Not?)
CenMil.1,CenMil
CerGlo,CerGlo
CerGlo.1,CerGlo
ClaPer,ClaPur
ClaPUr,ClaPur
ClaPur,ClaPur
Collinsia,Collinsia
ConArv,ConArv
CroSet,CroSet
CynEch,CynEch
DaucPusil,DaucPusil
DelGra,DelGra
DelVar,DelVar
DelphiniumGracilentum(?),DelGra
DicCap,DicCap
DicCap.1,DicCap
DicMul,DicMul
ElyGla,ElyGla
EroCic,EroBot
EroBot,EroBot
EupSpa,EupSpa
FilGal,FilGal
GalApa,GalApa
GalPar,GalPar
GalPar.1,GalPar
Galpar,GalPar
GerDis,GerDis
GerMol,GerMol
GreenBrush,GreenBrush
HypGla,HypGla
LacCil,LacCil
LacSer,LacSer
Lagophylla,Lagophylla
LatSPh,LatSph
LatSph,LatSph
LatSph.1,LatSph
Legume small (astragalus?),Astragalus
Lin Bic (Pink/Yellow),LinBic
LinBic,LinBic
LinPar,LinPar
LinPar.1,LinPar
Linanthus,LinPar
Linanthus (?),LinPar
LolMul,LolMul
Lomatium,Lomatium
Lomatium?,Lomatium
LongAwnBrome,LongawnBrome
Longawn Brome,LongawnBrome
LongawnBrome,LongawnBrome
LotMIc,LotMic
LotMic,LotMic
LotPUr,LotPur
LotPr,LotPur
LotPur,LotPur
LotWra,LotWra
Lotus,Lotus
LupBIc,LupBic
LupBic,LupBic
LupBic.1,LupBic
LupVic,LupBic
LuzCom,LuzCom
MadGra,MadGra
MicCal,MicCal
MicCal.1,MicCal
NasPul,NasPul
NavPUb,NavPub
NavPub,NavPub
NotAGo,NotAgo
NotAgo,NotAgo
Oak,Oak
Pink Cup Opposite,Pink Cup Opposite
Pink Opposite Leaves,Pink Cup Opposite
PetDub,PetDub
PlaLan,PlaLan
PlaNot,PlaNot
PoaSecunda,PoaSecunda
PurpleCup,PurpleCup
PurpleFlower,PurpleFlower
RanCal,RanCal
RanCal,RanCal
RiHir,TriHir
Rock,Rock
San Bip,SanBip
SanBip,SanBip
Sanicula (Lomatium?),SanBip
Sanicula(?),SanBip
Scandix,ScaPec
SheArv,SheArv
ShieldSeed,ShieldSeed
Shieldseed,ShieldSeed
Sidalcea,Sidalcea
SisBel,SisBel
TaeCap,TaeCap
ThyCur,ThyCur
Thysanocarpus,ThyCur
Tri (Cil?),TriCil
Tri (Large Red),TriCil
Torilis,Torilis
TrIBif,TriBif
TriAlbo,TriAlbo
TriCupcake,TriMicrodon
TriBif,TriBif
TriCil,TriCil
TriDub,TriDub
TriEri,TriEri
TriFuc,TriFuc
TriGra,TriGra
TriGracil,TriGra
TriHir,TriHir
TriHya,TriHya
TriLax,TriLax
TriMic,TriMicroceph
TriMicro,TriMicroceph
TriMicroceph,TriMicroceph
TriMicrodon,TriMicrodon
TriWhite,TriWhite
TriWil,TriWil
TriWra,TriWra
TriaHya,TriHya
UnkForb,UnkForb
VicSat,VicSat
White Owl-Clover,CasAtt
WhiteCalandrinia,DelGra
WhiteOwlClover,CasAtt
Wood,Wood
UnKTar,UnkTar
UnkTar,UnkTar
VicSat,VicSat
VicVIl,VicVIl
VicVel,VicVIl
VicVil,VicVIl
VulMru,VulMyu
VulMyu,VulMyu
WhiteGlume,WhiteRib
WhiteRib,WhiteRib
WhiteRub,WhiteRib
WhorledTarweed,WhorledTarweed
Zigadenus,Zigadenus
