SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BriMax,AegTri,BroHor,BroDia,MadGra,VicSat,LatSph,DaucPusil,GerDis,EupSpa,AveBar,GalPar,Torilis,TriCil,Sidalcea,TriMicroceph,ClaPur,Lomatium,MicCal,DicCap,CenMil,BroSter,HypGla,AirCar,CarPac,,,,,,
HREC,1,1,1,1,1,5,4,2,,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,
HREC,1,1,2,2,1,5,2,2,2,4,2,2,1,,1,2,1,2,,,,,,,,,,,,,,,,,,
HREC,1,1,3,3,1,4,3,3,2,3,2,1,1,,1,1,,,1,1,2,1,,,,,,,,,,,,,,
HREC,1,1,4,4,1,5,1,2,1,2,2,1,,,,2,1,,,,,,,,,,,,,,,,,,,
HREC,1,1,5,5,1,5,,1,2,2,1,1,2,,,2,,,,1,,,1,,,,,,,,,,,,,
HREC,1,1,6,6,1,5,,1,2,2,1,1,,,,2,,,,2,,1,2,,,,,,,,,,,,,
HREC,1,1,7,7,1,5,3,1,,,2,2,,,,,1,1,,,,2,,,,,,,,,,,,,,
HREC,1,1,8,8,1,5,3,2,,2,2,1,,,1,,,,,1,,1,,,,,,,,,,,,,,
HREC,1,1,9,1,2,5,4,2,,3,1,2,2,,,1,,,1,,,2,,2,1,,,,,,,,,,,
HREC,1,1,10,2,2,4,4,3,1,3,1,2,3,,,1,,,1,2,,,,,,1,,,,,,,,,,
HREC,1,1,11,3,2,5,2,4,2,3,2,2,2,,,2,1,,,2,,2,,,,,1,,,,,,,,,
HREC,1,1,12,4,2,5,0,2,2,3,2,2,2,,1,1,1,1,,2,,1,,,,1,,,,,,,,,,
HREC,1,1,13,5,2,5,,2,3,3,2,2,2,,1,2,,,,3,2,3,,,,,,1,,,,,,,,
HREC,1,1,14,6,2,5,,2,2,2,2,1,2,,1,2,,,,1,1,1,,,,,3,,,,,,,,,
HREC,1,1,15,7,2,6,3,2,,1,2,1,1,1,1,1,1,2,2,1,,2,,,,1,1,,1,1,,,,,,
HREC,1,1,16,8,2,5,1,2,1,0,2,1,2,,2,2,,,1,,,2,,,,,3,,,1,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BroHor,BroDia,MadGra,VicSat,LatSph,DaucPusil,Sidalcea,ClaPur,BriMax,EupSpa,CenMil,DicCap,HypGla,GalPar,TriCil,TriMicrodon,TriMicroceph,LupBic,Torilis,ElyGla,BroSter,TriHir,MicCal,EroBot,CarPac,,,,
HREC,1,1,1,1,3,1,4,2,,2,2,2,1,2,,5,2,1,1,,,,,,,,,,,,,,,,,
HREC,1,1,2,2,3,,4,2,,2,2,2,1,1,2,5,2,1,,2,1,,,,,,,,,,,,,,,
HREC,1,1,3,3,3,2,1,4,3,3,2,1,2,2,2,4,1,,,2,,2,,,,,,,,,,,,,,
HREC,1,1,4,4,3,2,2,3,3,3,2,2,3,0,,5,,,,,,2,1,1,,,,,,,,,,,,
HREC,1,1,5,5,3,2,0,4,3,3,2,2,2,1,1,5,,,,,,1,,2,,,,,,,,,,,,
