SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,TriCil,EroCic,DicCap,LatSph,GerMol,CarPac,LotMic,,,,
HREC,1,1,1,1,5,2,3,1,,,,1,2,1,1,,,,,,,,,
HREC,1,1,2,2,5,2,2,2,,,1,1,4,,,,,,,,,,,
HREC,1,1,3,3,5,2,2,2,,,1,1,2,,,1,1,,,,,,,
HREC,1,1,4,4,5,2,,1,,,,1,,,,,,,,,,,,
HREC,1,1,5,5,5,2,2,2,,1,,1,,1,1,,1,1,,,,,,
HREC,1,1,6,6,5,2,,4,,,,1,1,1,1,,2,,,,,,,
HREC,1,1,7,7,5,2,2,3,,,,,1,,1,,,,1,,,,,
HREC,1,1,8,8,5,0,1,2,,,1,,,,1,,1,,,,,,,
HREC,1,1,9,1,6,2,2,,,,1,1,2,,,,1,,1,,,,,
HREC,1,1,10,2,6,2,2,1,,,1,,3,,2,,,,,,,,,
HREC,1,1,11,3,6,2,1,1,,1,1,1,,,1,1,1,,,,,,,
HREC,1,1,12,4,6,2,2,2,,1,,2,,,2,,1,,,,,,,
HREC,1,1,13,5,6,2,1,2,,1,1,1,,1,3,1,,2,,,,,,
HREC,1,1,14,6,6,2,2,2,,1,,,,1,2,,,,1,2,,,,
HREC,1,1,15,7,6,2,1,2,,,,,,,1,,,,,,,,,
HREC,1,1,16,8,6,2,,2,10,,,,1,,1,,,,,2,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,EroCic,CarPac,LotMic,TriCil,LatSph,GerMol,TriBif,DicCap,Rock,LatSph,
HREC,1,1,1,1,7,2,3,1,,,,1,3,1,,,,,,,,,,
HREC,1,1,2,2,7,2,2,,,,1,1,2,1,1,1,,,,,,,,
HREC,1,1,3,3,7,2,2,1,,,1,,,,1,,1,,,,,,,
HREC,1,1,4,4,7,2,2,1,,1,1,1,2,2,,2,,2,,,,,,
HREC,1,1,5,5,7,2,,2,,,,,,2,,2,1,,,,,,,
HREC,1,1,6,6,7,2,,,,,,,,2,1,2,,,,,,,,
