SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,AveFat,AirCar,TriDub,TriHir,VulMyu,TriWhite,GalPar,Bare,DicCap,MadGra,HypGla,VicVel,BroDia,EroBot,TaeCap,TriCil,LatSph,ClaPur,TriWra,,,,
MCLA,1,1,1,1,1,3,,3,3,4,2,2,1,5,1,1,,,,,,,,,,,,,
MCLA,1,1,2,2,1,4,,2,3,3,1,,1,,,2,1,,,,,,,,,,,,
MCLA,1,1,3,3,1,5,,2,2,3,2,1,1,8,1,,,4,,,,,,,,,,,
MCLA,1,1,4,4,1,5,,2,2,3,2,1,1,,1,,,,2,1,2,,,,,,,,
MCLA,1,1,5,5,1,3,,3,2,2,2,3,1,,1,,2,,1,,,,,,,,,,
MCLA,1,1,6,6,1,3,,2,2,3,2,4,,2,,,,2,2,,,,,,,,,,
MCLA,1,1,7,7,1,3,,3,2,3,4,2,2,15,,,2,,,,,2,1,1,,,,,
MCLA,1,1,8,8,1,3,,2,1,3,2,,1,30,,,,,,1,3,,,2,,,,,
MCLA,1,1,9,1,2,3,,2,2,2,5,2,1,,,,,3,,1,,,,1,,,,,
MCLA,1,1,10,2,2,3,,2,2,3,4,2,1,,,,,3,,,,,,,,,,,
MCLA,1,1,11,3,2,4,,1,2,2,3,2,,,,,,4,,,,,,,,,,,
MCLA,1,1,12,4,2,3,,1,3,2,2,2,,,1,2,,3,,,1,,,,1,,,,
MCLA,1,1,13,5,2,3,,1,2,2,2,4,,,,1,,3,,1,,,,,1,,,,
MCLA,1,1,14,6,2,3,,3,2,2,2,5,1,,1,,,2,,,1,,,2,,,,,
MCLA,1,1,15,7,2,3,,2,2,3,2,4,2,7,,,,3,,,3,,,,,,,,
MCLA,1,1,16,8,2,3,,3,2,2,2,3,1,,,,,,,1,4,,1,2,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,BroDia,AveBar,AirCar,VulMyu,TriDub,TriHir,TriWhite,VicVel,GalPar,ClaPur,BriMin,TaeCap,EroBot,MadGra,DicCap,TriWra,HypGla,Bare,LatSph,TriMicroceph,,,
MCLA,1,1,1,1,3,4,,2,2,4,2,,3,2,1,,1,2,1,,,,,,,,,,
MCLA,1,1,2,2,3,4,,,1,3,2,1,3,2,,,,3,1,2,1,1,,,,,,,
MCLA,1,1,3,3,3,4,,1,2,4,3,,2,3,1,,,3,,1,,,1,,,,,,
MCLA,1,1,4,4,3,5,,,2,2,2,1,2,3,,,,2,,,1,,,,,,,,
MCLA,1,1,5,5,3,4,,,3,2,2,1,4,4,1,,,,,2,,,,,,,,,
