SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,TaeCap,CarPac,Torilis,GalPar,ElyGla,Lagophylla,VicSat,BroMad,VulMyu,CroSet,CynEch,WhiteGlume,AveBar,ClaPur,,,,,,,,,,,,
SFREC,1,1,1,1,1,4,2,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,
SFREC,1,1,2,2,1,3,3,3,4,3,,,3,2,3,,,,,,,,,,,,,,,,,,,
SFREC,1,1,3,3,1,3,4,3,4,2,2,,,2,2,2,1,,,,,,,,,,,,,,,,,
SFREC,1,1,4,4,1,4,3,3,4,,2,,3,,2,2,,,,,,,,,,,,,,,,,,
SFREC,1,1,5,5,1,4,3,3,4,2,3,,,,2,2,1,,,,,,,,,,,,,,,,,
SFREC,1,1,6,6,1,5,3,3,3,3,2,1,,,2,2,,1,,,,,,,,,,,,,,,,
SFREC,1,1,7,7,1,4,3,2,3,3,,1,3,,2,3,2,,1,,,,,,,,,,,,,,,
SFREC,1,1,8,8,1,4,2,2,1,3,4,,4,2,2,2,,,2,2,,,,,,,,,,,,,,
SFREC,1,1,9,1,2,4,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,1,1,10,2,2,4,2,3,4,2,3,,,2,1,2,,,1,,,,,,,,,,,,,,,
SFREC,1,1,11,3,2,5,3,3,2,,3,1,,3,,2,,,2,,,,,,,,,,,,,,,
SFREC,1,1,12,4,2,5,3,3,2,,3,,3,3,,3,,,2,,,,,,,,,,,,,,,
SFREC,1,1,13,5,2,4,3,2,3,1,2,,2,,3,4,,,2,,2,,,,,,,,,,,,,
SFREC,1,1,14,6,2,4,2,2,2,,3,1,3,,2,2,,,,,,2,,,,,,,,,,,,
SFREC,1,1,15,7,2,3,3,2,3,,3,,2,,2,2,,1,,,,,,,,,,,,,,,,
SFREC,1,1,16,8,2,4,3,2,2,2,4,1,,,2,1,,,1,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,CynEch,Torilis,CarPac,VicSat,Lagophylla,TriHir,ClaPur,GalPar,Bare,PetDub,,,,,,,,,,,,
SFREC,1,1,1,1,3,3,2,2,,2,2,,1,4,2,,2,1,,,,,,,,,,,,,,,,
SFREC,1,1,2,2,3,1,2,,1,1,2,,1,4,1,2,3,1,1,,,,,,,,,,,,,,,
SFREC,1,1,3,3,3,1,2,,2,3,,,2,4,3,,4,,,1,,,,,,,,,,,,,,
SFREC,1,1,4,4,3,1,2,,3,3,3,2,1,3,1,,3,,,,,,,,,,,,,,,,,
SFREC,1,1,5,5,3,1,2,2,3,4,2,,2,3,,,,,,1,,,,,,,,,,,,,,
SFREC,1,1,6,6,3,3,2,2,3,4,3,,,3,,,,,,,,,,,,,,,,,,,,
SFREC,1,1,7,7,3,2,2,2,2,2,3,,1,4,,,,,2,1,,,,,,,,,,,,,,
SFREC,1,1,8,8,3,3,2,2,3,3,2,,,4,,3,,,,,10,,,,,,,,,,,,,
SFREC,1,1,9,1,4,4,3,2,,2,4,,,3,3,,2,,,,,1,,,,,,,,,,,,
SFREC,1,1,10,2,4,3,2,1,,,,,2,3,3,,2,,,1,,,,,,,,,,,,,,
SFREC,1,1,11,3,4,2,3,,,3,,,,3,4,,4,,,1,,1,,,,,,,,,,,,
SFREC,1,1,12,4,4,1,2,,2,4,2,,1,2,,2,3,,1,1,,,,,,,,,,,,,,
SFREC,1,1,13,5,4,1,1,1,2,5,,,1,,,2,2,,,,,,,,,,,,,,,,,
SFREC,1,1,14,6,4,2,2,3,1,4,3,,1,3,,2,,,,1,,,,,,,,,,,,,,
SFREC,1,1,15,7,4,0,4,2,1,4,,3,,3,,2,2,,2,,,,,,,,,,,,,,,
SFREC,1,1,16,8,4,2,2,,,3,,2,,4,,2,2,,1,2,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroDia,BroHor,BroSter,BroMad,TaeCap,ElyGla,VulMyu,Torilis,CarPac,VicSat,Lagophylla,CynEch,GalPar,TriHir,ClaPur,UnkTar,SheArv,MadGra,NavPub,TriHya,WhiteRib,,,,,,,,
SFREC,1,1,1,1,5,3,1,2,2,,4,,2,,2,3,2,1,,,,,,,,,,,,,,,,
SFREC,1,1,2,2,5,3,4,,,,1,,3,1,,,1,2,2,,,,,,,,,,,,,,,
SFREC,1,1,3,3,5,2,3,,2,3,,1,4,2,,3,,,,1,2,,,,,,,,,,,,,
SFREC,1,1,4,4,5,1,3,,3,5,,4,1,1,1,,,,,,,1,,,,,,,,,,,,
SFREC,1,1,5,5,5,2,2,,3,4,3,,3,3,,,2,,1,,,,,,,,,,,,,,,
SFREC,1,1,6,6,5,2,3,,3,4,,,3,,,3,,1,,,,,1,,,,,,,,,,,
SFREC,1,1,7,7,5,2,3,,2,4,,,3,2,,2,,,1,1,,,,1,,,,,,,,,,
SFREC,1,1,8,8,5,,3,,3,3,,2,3,3,2,2,2,,,2,,,,,,,,,,,,,,
SFREC,1,1,9,1,6,4,2,,3,,,,2,,,3,2,1,,,,,,,,,,,,,,,,
SFREC,1,1,10,2,6,3,3,,2,,,2,2,3,1,3,2,1,,2,,,,,,,,,,,,,,
SFREC,1,1,11,3,6,1,2,,4,3,,,2,,,3,2,,,,,,1,,,1,,,,,,,,
SFREC,1,1,12,4,6,2,2,,5,3,,,1,1,,2,2,,,,1,,,,,,,,,,,,,
SFREC,1,1,13,5,6,2,2,,4,5,,,1,,1,,,,,,,,,,,,,,,,,,,
SFREC,1,1,14,6,6,3,2,,5,3,,,,,2,,,,,,,,,,,,,,,,,,,
