SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,GerDis,VicSat,CarPac,Torilis,ClaPer,GalPar,TriDub,,,,,,,,,,,
SFREC,1,1,1,1,1,2,2,2,2,,1,,,,,,,,,,,,
SFREC,1,1,2,2,1,2,3,3,,,,,,,,,,,,,,,
SFREC,1,1,3,3,1,2,2,2,2,1,,,,,,,,,,,,,
SFREC,1,1,4,4,1,2,2,,,,,,,,,,,,,,,,
SFREC,1,1,5,5,1,2,2,2,2,,,,,,,,,,,,,,
SFREC,1,1,6,6,1,3,2,3,2,1,,,,,,,,,,,,,
SFREC,1,1,7,7,1,2,2,2,,,1,2,,,,,,,,,,,
SFREC,1,1,8,8,1,2,1,3,4,,1,,,,,,,,,,,,
SFREC,1,1,9,1,2,,2,,2,,,,,,,,,,,,,,
SFREC,1,1,10,2,2,2,2,3,3,2,,,,,,,,,,,,,
SFREC,1,1,11,3,2,2,2,,3,2,1,,,,,,,,,,,,
SFREC,1,1,12,4,2,3,2,2,2,,2,,,,,,,,,,,,
SFREC,1,1,13,5,2,2,3,,,,,1,,,,,,,,,,,
SFREC,1,1,14,6,2,2,3,,3,,1,,,,,,,,,,,,
SFREC,1,1,15,7,2,2,4,,3,,,2,,,,,,,,,,,
SFREC,1,1,16,8,2,1,3,1,4,,,1,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,GerDis,VicSat,Torilis,CarPac,GalPar,ClaPer,TriDub,Cardamine oligosperma,Bare,GalApa,CerGlo,,,,,,,
SFREC,1,1,1,1,3,2,3,4,1,,1,,,,,,,Note: Thysanocarpus is Cardamine oligosperma,,,,,
SFREC,1,1,2,2,3,2,3,5,1,,2,,,,,,,,,,,,
SFREC,1,1,3,3,3,3,2,4,3,,3,1,,,,,,,,,,,
SFREC,1,1,4,4,3,3,3,3,2,,2,,,,,,,,,,,,
SFREC,1,1,5,5,3,3,3,2,1,,,,2,,,,,,,,,,
SFREC,1,1,6,6,3,2,3,3,,,1,,,,,,,,,,,,
SFREC,1,1,7,7,3,3,2,4,,1,,,2,,,,,,,,,,
SFREC,1,1,8,8,3,2,3,3,,,,,1,10,,,,,,,,,
SFREC,1,1,9,1,4,3,3,3,2,,2,1,,,,,,,,,,,
SFREC,1,1,10,2,4,2,3,3,4,1,2,,,,,,,,,,,,
SFREC,1,1,11,3,4,3,2,3,4,,2,,,,,,,,,,,,
SFREC,1,1,12,4,4,3,2,2,,,,,,,,,,,,,,,
SFREC,1,1,13,5,4,2,2,,,,1,,,,,,,,,,,,
