Name: Eviner Lab Penetrometer         																						
Serial #:  2062 																						
Datum: WGS 84																						
Soil Compation In KPa																						
Longitude	Latitude	Number	0.0 cm	2.5 cm	5.0 cm	7.5 cm	10.0 cm	12.5 cm	15.0 cm	17.5 cm	20.0 cm	22.5 cm	25.0 cm	27.5 cm	30.0 cm	32.5 cm	35.0 cm	37.5 cm	40.0 cm	42.5 cm	45.0 cm	Cone Size
		Logger Started																				
SFREC		N= 1 	380	724	380	586	966	1449	1070	759	1138	1380	966	794	828	828	724	656	690	1484	1518	1/2 Inch
		N= 2 	69	138	552	414	414	552	380	242	242	448	345	586	552	1518	1622	1208	862	1104	897	1/2 Inch
		N= 3 	690	448	483	380	552	966	724	483	483	345	414	310	552	0	0	0	0	0	0	1/2 Inch
		N= 4 	276	310	172	69	621	345	276	276	345	138	242	207	690	1104	0	0	0	0	0	1/2 Inch
		N= 5 	138	172	0	104	552	2484	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 6 	414	690	1932	2001	1587	1725	0	586	759	862	552	656	794	862	966	794	656	586	621	1/2 Inch
		N= 7 	310	552	897	1276	1000	897	897	586	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 8 	310	380	897	1276	1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 9 	310	242	276	414	345	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 10 	69	345	242	172	207	380	1242	1208	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 11 	207	380	483	172	448	448	276	483	345	345	483	1104	656	448	380	759	2139	0	0	1/2 Inch
		N= 12 	345	0	0	586	1380	1138	932	448	483	1311	1208	2139	0	1587	1518	2242	2760	0	0	1/2 Inch
		N= 13 	242	276	586	1622	0	1690	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 14 	69	276	724	828	897	586	552	724	828	1898	2415	2242	1966	2174	1794	1725	1690	1690	1725	1/2 Inch
		N= 15 	172	310	172	1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 16 	0	0	656	966	2139	862	828	966	828	828	794	862	2726	0	1276	1622	0	0	0	1/2 Inch
		N= 17 	0	34	483	414	380	586	621	690	656	552	414	932	0	0	0	0	0	0	0	1/2 Inch
		N= 18 	414	345	483	690	724	759	621	414	448	759	1173	1173	0	0	0	0	0	0	0	1/2 Inch
		N= 19 	34	483	656	656	759	897	0	621	621	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 20 	310	276	310	310	380	310	104	138	586	276	138	172	345	0	0	0	0	0	0	1/2 Inch
		Logger Started																				
		N= 1 	138	138	207	1276	0	172	0	0	345	483	552	656	690	656	656	345	207	0	724	1/2 Inch
		N= 2 	138	34	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 3 	448	448	414	380	345	345	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	0	0	172	310	656	414	862	621	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 5 	207	207	586	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		Logger Started																				
		N= 1 	69	69	310	2001	897	207	897	1138	897	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 2 	34	656	656	966	794	828	828	759	1966	1760	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 3 	310	414	483	897	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	172	586	414	345	276	242	345	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 5 	414	656	414	414	1173	1863	1898	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 6 	448	448	0	172	138	1000	2380	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 7 	380	448	621	897	1104	862	862	862	586	759	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 8 	310	724	690	621	621	966	1725	2588	1863	1484	2415	1725	0	0	0	0	0	0	0	1/2 Inch
		N= 9 	276	552	586	483	1173	1518	1104	1070	897	1070	2656	0	0	0	0	0	0	0	0	1/2 Inch
		N= 10 	414	345	345	448	448	1622	1690	0	1484	2450	3036	0	0	0	0	0	0	0	0	1/2 Inch
		N= 11 	448	483	380	3346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 12 	207	552	345	310	310	345	1760	1690	1622	2346	0	1173	2312	2415	0	0	0	0	0	1/2 Inch
		N= 13 	0	586	448	862	2070	1173	2001	1898	1484	3070	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 14 	207	380	690	2380	1173	1173	724	0	586	759	759	759	966	2277	0	0	0	0	0	1/2 Inch
		N= 15 	310	345	586	483	1484	1690	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 16 	138	724	586	759	2794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 17 	242	207	242	345	966	1449	1656	1208	1242	1276	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 18 	552	414	380	414	1104	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 19 	172	276	104	0	69	621	724	932	1000	759	2794	0	0	0	0	0	0	0	0	1/2 Inch
		N= 20 	414	380	483	345	310	483	1173	1242	1449	0	862	897	932	828	794	586	586	690	897	1/2 Inch
		N= 21 	414	483	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 22 	0	0	0	138	207	448	586	656	1242	1414	897	1000	1173	1070	897	932	1208	1725	0	1/2 Inch
		N= 23 	34	207	690	690	586	483	1794	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 24 	172	483	448	862	1587	3105	1587	1346	2415	1208	0	862	1138	1346	1380	1725	1518	1414	0	1/2 Inch
		N= 25 	172	172	932	1000	1484	1587	1484	1449	1518	2242	2380	2312	3208	1966	0	0	1449	0	1863	1/2 Inch
		Logger Started																				
SFREC		N= 1 	414	483	242	448	414	724	586	552	448	2588	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 2 	483	448	310	448	794	414	310	242	242	345	414	621	932	1138	2139	1242	1000	1070	0	1/2 Inch
		N= 3 	104	207	276	207	172	172	448	414	310	276	172	448	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	104	138	207	207	242	345	380	552	448	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 5 	276	242	207	380	276	242	380	448	380	448	2312	0	0	0	0	0	0	0	0	1/2 Inch
		N= 6 	794	690	345	345	172	172	242	380	414	380	310	586	586	1484	2312	0	1414	1276	1138	1/2 Inch
		N= 7 	138	310	172	1932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 8 	34	34	0	621	656	0	172	172	276	621	759	724	724	724	656	1242	0	0	0	1/2 Inch
		N= 9 	172	172	172	310	380	794	724	862	1346	0	1656	1346	1380	1484	1449	1760	1794	0	1760	1/2 Inch
		N= 10 	104	207	207	276	345	690	794	794	552	483	448	586	656	0	0	0	0	0	0	1/2 Inch
		N= 11 	276	207	345	448	483	621	621	690	794	794	1208	1449	0	0	0	0	0	0	0	1/2 Inch
		N= 12 	345	345	380	276	448	2174	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 13 	242	345	345	794	828	586	621	483	966	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 14 	242	172	138	207	345	448	621	794	1138	897	828	897	932	0	0	0	0	0	0	1/2 Inch
		N= 15 	690	448	172	242	794	621	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 16 	414	690	207	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 17 	172	172	586	621	414	345	586	586	586	1518	1138	1242	3174	0	0	0	0	0	0	1/2 Inch
		N= 18 	242	207	242	1863	0	0	0	0	0	1173	828	1760	2139	1690	1311	1380	1242	1173	1070	1/2 Inch
		N= 19 	207	138	104	69	207	345	310	380	345	448	2242	0	0	0	0	0	0	0	0	1/2 Inch
		N= 20 	276	172	172	586	1828	2036	1898	1276	794	897	932	828	0	0	0	0	0	0	0	1/2 Inch
		N= 21 	310	172	172	242	104	586	621	690	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 22 	552	862	345	552	862	621	621	621	656	759	862	862	897	932	1000	897	897	932	1311	1/2 Inch
		N= 23 	138	138	310	242	380	621	586	586	724	690	690	621	552	414	483	1898	1725	1518	1656	1/2 Inch
		N= 24 	0	448	414	448	690	656	586	656	724	828	656	828	828	1104	1208	1138	1208	1173	1070	1/2 Inch
		Logger Started																				
		N= 1 	69	69	310	207	172	656	759	690	690	932	1138	862	966	1104	1484	1380	414	1863	1725	1/2 Inch
		Logger Started																				
		N= 1 	207	172	276	2898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 2 	0	69	34	69	656	828	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 3 	69	69	69	414	690	1380	1484	1484	1449	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	69	138	69	69	138	242	310	380	586	862	724	690	0	0	0	0	0	0	0	1/2 Inch
		N= 5 	172	172	310	345	276	242	1656	2139	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 6 	104	724	897	759	794	448	1104	966	794	759	724	621	586	656	897	862	0	0	0	1/2 Inch
