,SiteName,BlockNo,species,cover
1,HREC,1,brimax,534
2,HREC,1,bare,394
3,HREC,1,brohor,305
4,HREC,1,aegtri,283
5,HREC,1,madgra,213
6,HREC,1,clapur,208
7,HREC,1,daucpusil,205
8,HREC,1,vicsat,186
9,HREC,1,latsph,144
10,HREC,1,hypgla,134
11,HREC,1,brodia,128
12,HREC,1,avebar,116
13,HREC,1,sidalcea,93
14,HREC,1,cenmil,84
15,HREC,1,trimicroceph,79
16,HREC,1,lotmic,66
17,HREC,1,tricil,53
18,HREC,1,galpar,39
19,HREC,1,eupspa,28
20,HREC,1,broster,25
21,HREC,1,erobot,22
22,HREC,1,lupbic,22
23,HREC,1,carpac,21
24,HREC,1,torilis,18
25,HREC,1,miccal,17
26,HREC,1,diccap,16
27,HREC,1,linpar,14
28,HREC,1,planot,10
29,HREC,1,rock,10
30,HREC,1,lotwra,7
31,HREC,1,trimicrodon,5
32,HREC,1,lomatium,3
33,HREC,1,shieldseed,3
34,HREC,1,sisbel,3
35,HREC,1,elygla,2
36,HREC,1,gerdis,2
37,HREC,1,aircar,1
38,HREC,1,anaarv,1
39,HREC,1,brimin,1
40,HREC,1,calcil,1
41,HREC,1,callut,1
42,HREC,1,lacser,1
43,HREC,1,trihir,1
44,HREC,2,brohor,333
45,HREC,2,brimax,320
46,HREC,2,bare,299
47,HREC,2,aegtri,267
48,HREC,2,avebar,267
49,HREC,2,torilis,219
50,HREC,2,vicsat,218
51,HREC,2,brodia,210
52,HREC,2,madgra,187
53,HREC,2,hypgla,169
54,HREC,2,gerdis,119
55,HREC,2,daucpusil,117
56,HREC,2,latsph,116
57,HREC,2,cenmil,96
58,HREC,2,galpar,89
59,HREC,2,carpac,87
60,HREC,2,trihir,41
61,HREC,2,elygla,33
62,HREC,2,lupbic,32
63,HREC,2,trimicroceph,27
64,HREC,2,calpar,18
65,HREC,2,clapur,18
66,HREC,2,broster,13
67,HREC,2,amsmen,11
68,HREC,2,anaarv,10
69,HREC,2,lotmic,10
70,HREC,2,tricil,7
71,HREC,2,erobot,6
72,HREC,2,trimicrodon,6
73,HREC,2,diccap,4
74,HREC,2,linpar,4
75,HREC,2,cynech,3
76,HREC,2,rancal,2
77,HREC,2,shieldseed,2
78,HREC,2,cerglo,1
79,HREC,2,tribif,1
80,HREC,2,trigra,1
81,HREC,3,daucpusil,346
82,HREC,3,bare,236
83,HREC,3,clapur,217
84,HREC,3,avebar,203
85,HREC,3,brodia,188
86,HREC,3,naspul,157
87,HREC,3,madgra,143
88,HREC,3,brohor,142
89,HREC,3,brimax,133
90,HREC,3,anaarv,92
91,HREC,3,galpar,76
92,HREC,3,cenmil,72
93,HREC,3,sidalcea,59
94,HREC,3,miccal,57
95,HREC,3,trimicroceph,56
96,HREC,3,sisbel,42
97,HREC,3,navpub,40
98,HREC,3,lotwra,35
99,HREC,3,notago,30
100,HREC,3,aircar,27
101,HREC,3,brimin,18
102,HREC,3,diccap,18
103,HREC,3,latsph,18
104,HREC,3,bromad,17
105,HREC,3,filgal,15
106,HREC,3,linpar,13
107,HREC,3,trihir,12
108,HREC,3,lotmic,8
109,HREC,3,casatt,7
110,HREC,3,rock,5
111,HREC,3,torilis,5
112,HREC,3,tricil,5
113,HREC,3,plalan,4
114,HREC,3,broster,2
115,HREC,3,lotpur,2
116,HREC,3,cardamine,1
117,HREC,3,longawnbrome,1
118,HREC,3,lupbic,1
119,HREC,3,taecap,1
120,HREC,4,bare,1106
121,HREC,4,brimax,300
122,HREC,4,avebar,291
123,HREC,4,madgra,252
124,HREC,4,brohor,250
125,HREC,4,miccal,202
126,HREC,4,clapur,174
127,HREC,4,taecap,168
128,HREC,4,naspul,165
129,HREC,4,lotpur,146
130,HREC,4,daucpusil,81
131,HREC,4,torilis,74
132,HREC,4,sisbel,55
133,HREC,4,trimicroceph,55
134,HREC,4,sidalcea,49
135,HREC,4,aircar,46
136,HREC,4,trialbo,41
137,HREC,4,cynech,36
138,HREC,4,lotmic,21
139,HREC,4,lotwra,20
140,HREC,4,navpub,20
141,HREC,4,trimicrodon,20
142,HREC,4,aegtri,19
143,HREC,4,rancal,19
144,HREC,4,elygla,17
145,HREC,4,achmol,16
146,HREC,4,latsph,16
147,HREC,4,galpar,13
148,HREC,4,diccap,10
149,HREC,4,tridub,8
150,HREC,4,brodia,6
151,HREC,4,X4.waygrass,4
152,HREC,4,linpar,4
153,HREC,4,poasecunda,4
154,HREC,4,luzcom,3
155,HREC,4,rock,3
156,HREC,4,cenmil,2
157,HREC,4,brimin,1
158,HREC,4,brocar,1
159,HREC,4,lomatium,1
160,HREC,4,tribif,1
161,MCLA,1,bare,713
162,MCLA,1,taecap,370
163,MCLA,1,vulmyu,357
164,MCLA,1,brohor,345
165,MCLA,1,vicvil,214
166,MCLA,1,latsph,191
167,MCLA,1,trihir,188
168,MCLA,1,tridub,181
169,MCLA,1,aircar,124
170,MCLA,1,clapur,122
171,MCLA,1,triwhite,92
172,MCLA,1,hypgla,65
173,MCLA,1,diccap,56
174,MCLA,1,galpar,55
175,MCLA,1,madgra,36
176,MCLA,1,avebar,32
177,MCLA,1,calcil,23
178,MCLA,1,erobot,22
179,MCLA,1,trimicroceph,22
180,MCLA,1,brimin,20
181,MCLA,1,casatt,8
182,MCLA,1,brodia,6
183,MCLA,1,laccil,5
184,MCLA,1,lolmul,4
185,MCLA,1,tricil,4
186,MCLA,1,triwra,4
187,MCLA,1,triwil,3
188,MCLA,1,whorledtarweed,3
189,MCLA,1,anaarv,2
190,MCLA,1,filgal,2
191,MCLA,1,miccal,2
192,MCLA,1,trigra,2
193,MCLA,1,amsmen,1
194,MCLA,1,daucpusil,1
195,MCLA,1,lotus,1
196,MCLA,2,taecap,532
197,MCLA,2,brohor,451
198,MCLA,2,vulmyu,362
199,MCLA,2,bare,315
200,MCLA,2,vicvil,179
201,MCLA,2,gerdis,136
202,MCLA,2,vicsat,121
203,MCLA,2,avebar,97
204,MCLA,2,madgra,55
205,MCLA,2,clapur,49
206,MCLA,2,diccap,45
207,MCLA,2,hypgla,45
208,MCLA,2,aircar,42
209,MCLA,2,galpar,26
210,MCLA,2,tridub,21
211,MCLA,2,croset,14
212,MCLA,2,miccal,12
213,MCLA,2,conarv,8
214,MCLA,2,lolmul,8
215,MCLA,2,lupbic,8
216,MCLA,2,agohet,6
