,site,block,plot,subplot,x,y,note,index,year,sitename,dateestablished,plotlocation,fertilized,Achillea.millefolium,Achyracaena.mollis,Lotus.sp.,Aegilops.triuncialis,Agoseris.heterophylla,Aira.caryophyllaea,Amsinckia.menziesii,Anagallis.arvensis,Astragalus.gambelianus,Athysanus.pusillus,Avena.barbata,Lomatium.californicum,Briza.maxima,Briza.minima,Bromus.carinatus,Bromus.diandrus,Bromus.hordeaceous,Bromus.madritensis,Bromus.sterilis,Calandrinia.ciliata,Calochortus.luteus,Galium.parisiense,Cardamine.oligosperma,Carduus.pachnocephalus,Castilleja.attenuata,Centaurea.melitensis,Centaurea.solstitialis,Cerastium.glomeratum,Clatonia.perfoliata,Clarkia.Purpurea,Collinsia.sparsiflora,Convolvulus.arvensis,Croton.setigerus,Cynosurus.echinatus,Daucus.pusillus,Delphinium.gracilentum,Delphinium.variegatum,Dichlostemma.capitatum,Dichlostemma.multiflorum,Thysanocarpus.curvipes,Elymus.glaucus,Elymus.multisetus,Erodium.botrys,Erodium.cicutarium,Euphorbia.spathulata,Filago.gallica,V1,Galium.aparine,Gastridium.ventricosum,Geranium.molle,Geranium.dissectum,Gilia.tricolor,Holocarpha.virgata,Hypericum.sp.,Hypochaeris.glabra,Hypochaeris.radicata,Lactuca.serriola,Lagophylla.ramosissma,Large.brush,Lathyrus.sphaericus,Linanthus.sp.,Linanthus.bicolor,Linanthus.parviflora,Little.unknown,Lolium.multiflorum,Lotus.micranthus,Lotus.purshianus,Lotus.wrangelianus,Lupinus.bicolor,Luzula.comosa,Madea.esque.plant,Madia.gracilis,Madea.sativa,Trifolium.dubium,Micropus.californica,Nassella.pulchra,Navarretia.pubescens,Tolpis.barbata,Castilleja.exserta,Petrorhagia.dubia,Plantago.lanceolata,Plagiobothrys.nothofulvus,Plantago.sp.,Poa.secunda,Trifolium.albopurpurea,Githopsis.specularioides,Ranunculus.californica,Sanicula.bipinnatifida,Scandix.pecten.veneris,Unknown.sedge,Sherardia.arvensis,Sidalcea.diploscypha,Silene.gallica,Sisyrinchium.bellum,Taeniatherum.caput.medusae,Torilis.sp.,Trifolium.bifidum,Tritileia.laxa,Trifolium.ciliolatum,Trifolium.microdon,Triphyseria.eriantha,Trifolium.depauperatum,Trifolium.subterraneum,Trifolium.gracilentum,Trifolium.hirtum,Tritileia.hyacinthina,Trifolium.microcephalum,Trifolium.wildenovii,Zeltnera.trichantha,Unknown.aster,Unknown.grass,Vicia.sativa,Vicia.villosa,Vulpia.microstachys,Vulpia.myuros,Odontostomum.hartwegii,X4.way.grass
1,HREC,1,1,1,1,1,,129,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,15,0,0,15,0,0,0,0,0,0,0,0,37.5,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,62.5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
2,HREC,1,1,2,2,1,,161,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,15,0,0,15,0,0,0,0,0,0,0.5,0,37.5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
3,HREC,1,1,3,3,1,,161,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,15,0,0,15,0,0,0,0,0,0,15,0,15,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
4,HREC,1,1,4,4,1,,177,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,15,0,0,0,0,0,0,0,0,0,0.5,0,37.5,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,15,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
5,HREC,1,1,5,5,1,,131,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,15,0,0,0,0,0,0,0,0,0,15,0,62.5,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,15,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,15,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
6,HREC,1,1,6,6,1,,163,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,15,0,0,37.5,0,0,0,0,0,0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,15,0,0,0,0,0,0,0,0,0.5,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
7,HREC,1,1,7,7,1,,162,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,37.5,0,0,0,0,0,0,0,0,0,15,0,15,0,0,15,15,0,0,0,0,0,0,0.5,0,0,0,0,0,15,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
8,HREC,1,1,8,8,1,,178,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,15,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,37.5,0,0,0.5,0,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HREC,1,1,9,1,2,,133,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,15,0,0,0,0,0,0,0,0,0,15,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0.5,0,0,0,0,15,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
10,HREC,1,1,10,2,2,,165,2017,Hopland REC,2/13/2017,39°00’748” N; 123°03’600” W,0,0.5,0,0,0,0,0,0,0,0,0,15,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
