"","site","block","year","fert","stat","samp","div","q"
"1","HREC","2","2017",1,"mean","1",11.796875,0
"2","HREC","2","2017",0,"mean","1",10.59375,0
"3","HREC","3","2017",1,"mean","1",11.390625,0
"4","HREC","3","2017",0,"mean","1",12.09375,0
"5","HREC","4","2017",1,"mean","1",14.140625,0
"6","HREC","4","2017",0,"mean","1",13.9375,0
"7","HREC","2","2018",1,"mean","1",12.984375,0
"8","HREC","2","2018",0,"mean","1",12.984375,0
"9","HREC","3","2018",1,"mean","1",10.765625,0
"10","HREC","3","2018",0,"mean","1",15,0
"11","HREC","4","2018",1,"mean","1",9.546875,0
"12","HREC","4","2018",0,"mean","1",12.828125,0
"13","MCLA","1","2017",1,"mean","1",12.515625,0
"14","MCLA","1","2017",0,"mean","1",14.21875,0
"15","MCLA","2","2017",1,"mean","1",12.1875,0
"16","MCLA","2","2017",0,"mean","1",10.5,0
"17","MCLA","3","2017",1,"mean","1",10.25,0
"18","MCLA","3","2017",0,"mean","1",10.15625,0
"19","MCLA","4","2017",1,"mean","1",9.140625,0
"20","MCLA","4","2017",0,"mean","1",9.140625,0
"21","MCLA","1","2018",1,"mean","1",9.875,0
"22","MCLA","1","2018",0,"mean","1",10.125,0
"23","MCLA","2","2018",1,"mean","1",6.671875,0
"24","MCLA","2","2018",0,"mean","1",7.390625,0
"25","MCLA","3","2018",1,"mean","1",7.5625,0
"26","MCLA","3","2018",0,"mean","1",9.609375,0
"27","MCLA","4","2018",1,"mean","1",7.953125,0
"28","MCLA","4","2018",0,"mean","1",9.25,0
"29","SFREC","1","2017",1,"mean","1",13.4375,0
"30","SFREC","1","2017",0,"mean","1",12.046875,0
"31","SFREC","2","2017",1,"mean","1",15.625,0
"32","SFREC","2","2017",0,"mean","1",13.484375,0
"33","SFREC","3","2017",1,"mean","1",10.765625,0
"34","SFREC","3","2017",0,"mean","1",12.6875,0
"35","SFREC","4","2017",1,"mean","1",9.0625,0
"36","SFREC","4","2017",0,"mean","1",11.1875,0
"37","SFREC","1","2018",1,"mean","1",11.8125,0
"38","SFREC","1","2018",0,"mean","1",14.234375,0
"39","SFREC","2","2018",1,"mean","1",14.015625,0
"40","SFREC","2","2018",0,"mean","1",14.546875,0
"41","SFREC","3","2018",1,"mean","1",9.609375,0
"42","SFREC","3","2018",0,"mean","1",13.21875,0
"43","SFREC","4","2018",1,"mean","1",11.125,0
"44","SFREC","4","2018",0,"mean","1",12.28125,0
"45","HREC","2","2017",1,"mean","2",14.375,0
"46","HREC","2","2017",0,"mean","2",13.21875,0
"47","HREC","3","2017",1,"mean","2",14.25,0
"48","HREC","3","2017",0,"mean","2",15.6875,0
"49","HREC","4","2017",1,"mean","2",18.296875,0
"50","HREC","4","2017",0,"mean","2",17.875,0
"51","HREC","2","2018",1,"mean","2",16.25,0
"52","HREC","2","2018",0,"mean","2",15.125,0
"53","HREC","3","2018",1,"mean","2",14.703125,0
"54","HREC","3","2018",0,"mean","2",18.671875,0
"55","HREC","4","2018",1,"mean","2",12.5,0
"56","HREC","4","2018",0,"mean","2",17.0625,0
"57","MCLA","1","2017",1,"mean","2",15.078125,0
"58","MCLA","1","2017",0,"mean","2",16.59375,0
"59","MCLA","2","2017",1,"mean","2",14.1875,0
"60","MCLA","2","2017",0,"mean","2",11.859375,0
"61","MCLA","3","2017",1,"mean","2",12,0
"62","MCLA","3","2017",0,"mean","2",12.625,0
"63","MCLA","4","2017",1,"mean","2",10.46875,0
"64","MCLA","4","2017",0,"mean","2",10.453125,0
"65","MCLA","1","2018",1,"mean","2",12.84375,0
"66","MCLA","1","2018",0,"mean","2",12.359375,0
"67","MCLA","2","2018",1,"mean","2",8.921875,0
"68","MCLA","2","2018",0,"mean","2",9.6875,0
"69","MCLA","3","2018",1,"mean","2",9.140625,0
"70","MCLA","3","2018",0,"mean","2",12.109375,0
"71","MCLA","4","2018",1,"mean","2",10.484375,0
"72","MCLA","4","2018",0,"mean","2",11.40625,0
"73","SFREC","1","2017",1,"mean","2",16.5625,0
"74","SFREC","1","2017",0,"mean","2",14.78125,0
"75","SFREC","2","2017",1,"mean","2",19.703125,0
"76","SFREC","2","2017",0,"mean","2",17.546875,0
"77","SFREC","3","2017",1,"mean","2",14.3125,0
"78","SFREC","3","2017",0,"mean","2",15.34375,0
"79","SFREC","4","2017",1,"mean","2",11.71875,0
"80","SFREC","4","2017",0,"mean","2",14.09375,0
"81","SFREC","1","2018",1,"mean","2",14.203125,0
"82","SFREC","1","2018",0,"mean","2",17.140625,0
"83","SFREC","2","2018",1,"mean","2",17.859375,0
"84","SFREC","2","2018",0,"mean","2",17.78125,0
"85","SFREC","3","2018",1,"mean","2",12.5,0
"86","SFREC","3","2018",0,"mean","2",15.609375,0
"87","SFREC","4","2018",1,"mean","2",13.421875,0
"88","SFREC","4","2018",0,"mean","2",14.671875,0
"89","HREC","2","2017",1,"mean","3",16.34375,0
"90","HREC","2","2017",0,"mean","3",14.859375,0
"91","HREC","3","2017",1,"mean","3",16.671875,0
"92","HREC","3","2017",0,"mean","3",18.5,0
"93","HREC","4","2017",1,"mean","3",21.171875,0
"94","HREC","4","2017",0,"mean","3",20.625,0
"95","HREC","2","2018",1,"mean","3",18.28125,0
"96","HREC","2","2018",0,"mean","3",16.640625,0
"97","HREC","3","2018",1,"mean","3",16.96875,0
"98","HREC","3","2018",0,"mean","3",20.8125,0
"99","HREC","4","2018",1,"mean","3",14.265625,0
"100","HREC","4","2018",0,"mean","3",19.765625,0
"101","MCLA","1","2017",1,"mean","3",16.671875,0
"102","MCLA","1","2017",0,"mean","3",18.1875,0
"103","MCLA","2","2017",1,"mean","3",15.8125,0
"104","MCLA","2","2017",0,"mean","3",12.859375,0
"105","MCLA","3","2017",1,"mean","3",13.25,0
"106","MCLA","3","2017",0,"mean","3",14.15625,0
"107","MCLA","4","2017",1,"mean","3",11.3125,0
"108","MCLA","4","2017",0,"mean","3",11.15625,0
"109","MCLA","1","2018",1,"mean","3",14.625,0
"110","MCLA","1","2018",0,"mean","3",13.71875,0
"111","MCLA","2","2018",1,"mean","3",10.25,0
"112","MCLA","2","2018",0,"mean","3",10.828125,0
"113","MCLA","3","2018",1,"mean","3",10.140625,0
"114","MCLA","3","2018",0,"mean","3",13.359375,0
"115","MCLA","4","2018",1,"mean","3",11.984375,0
"116","MCLA","4","2018",0,"mean","3",12.40625,0
"117","SFREC","1","2017",1,"mean","3",18.65625,0
"118","SFREC","1","2017",0,"mean","3",16.75,0
"119","SFREC","2","2017",1,"mean","3",21.71875,0
"120","SFREC","2","2017",0,"mean","3",19.828125,0
"121","SFREC","3","2017",1,"mean","3",16.375,0
"122","SFREC","3","2017",0,"mean","3",16.765625,0
"123","SFREC","4","2017",1,"mean","3",13.265625,0
"124","SFREC","4","2017",0,"mean","3",15.59375,0
"125","SFREC","1","2018",1,"mean","3",15.640625,0
"126","SFREC","1","2018",0,"mean","3",18.828125,0
"127","SFREC","2","2018",1,"mean","3",20.265625,0
"128","SFREC","2","2018",0,"mean","3",19.140625,0
"129","SFREC","3","2018",1,"mean","3",14.390625,0
"130","SFREC","3","2018",0,"mean","3",16.734375,0
"131","SFREC","4","2018",1,"mean","3",14.890625,0
"132","SFREC","4","2018",0,"mean","3",16.09375,0
"133","HREC","2","2017",1,"mean","4",17.453125,0
"134","HREC","2","2017",0,"mean","4",16.109375,0
"135","HREC","3","2017",1,"mean","4",18.484375,0
"136","HREC","3","2017",0,"mean","4",20.203125,0
"137","HREC","4","2017",1,"mean","4",22.875,0
"138","HREC","4","2017",0,"mean","4",22.84375,0
"139","HREC","2","2018",1,"mean","4",19.8125,0
"140","HREC","2","2018",0,"mean","4",18.078125,0
"141","HREC","3","2018",1,"mean","4",18.5625,0
"142","HREC","3","2018",0,"mean","4",22.453125,0
"143","HREC","4","2018",1,"mean","4",15.625,0
"144","HREC","4","2018",0,"mean","4",21.84375,0
"145","MCLA","1","2017",1,"mean","4",17.484375,0
"146","MCLA","1","2017",0,"mean","4",19.390625,0
"147","MCLA","2","2017",1,"mean","4",16.96875,0
"148","MCLA","2","2017",0,"mean","4",13.875,0
"149","MCLA","3","2017",1,"mean","4",14.046875,0
"150","MCLA","3","2017",0,"mean","4",15.25,0
"151","MCLA","4","2017",1,"mean","4",11.953125,0
"152","MCLA","4","2017",0,"mean","4",11.78125,0
"153","MCLA","1","2018",1,"mean","4",15.84375,0
"154","MCLA","1","2018",0,"mean","4",14.75,0
"155","MCLA","2","2018",1,"mean","4",11.1875,0
"156","MCLA","2","2018",0,"mean","4",11.984375,0
"157","MCLA","3","2018",1,"mean","4",11.03125,0
"158","MCLA","3","2018",0,"mean","4",14.25,0
"159","MCLA","4","2018",1,"mean","4",12.984375,0
"160","MCLA","4","2018",0,"mean","4",12.953125,0
"161","SFREC","1","2017",1,"mean","4",20.453125,0
"162","SFREC","1","2017",0,"mean","4",18.703125,0
"163","SFREC","2","2017",1,"mean","4",23.171875,0
"164","SFREC","2","2017",0,"mean","4",21.625,0
"165","SFREC","3","2017",1,"mean","4",17.59375,0
"166","SFREC","3","2017",0,"mean","4",17.875,0
"167","SFREC","4","2017",1,"mean","4",14.265625,0
"168","SFREC","4","2017",0,"mean","4",16.953125,0
"169","SFREC","1","2018",1,"mean","4",17,0
"170","SFREC","1","2018",0,"mean","4",20.25,0
"171","SFREC","2","2018",1,"mean","4",21.703125,0
"172","SFREC","2","2018",0,"mean","4",20.703125,0
"173","SFREC","3","2018",1,"mean","4",15.296875,0
"174","SFREC","3","2018",0,"mean","4",17.703125,0
"175","SFREC","4","2018",1,"mean","4",15.90625,0
"176","SFREC","4","2018",0,"mean","4",17.28125,0
"177","HREC","2","2017",1,"mean","5",18.421875,0
"178","HREC","2","2017",0,"mean","5",17.015625,0
"179","HREC","3","2017",1,"mean","5",19.59375,0
"180","HREC","3","2017",0,"mean","5",21.6875,0
"181","HREC","4","2017",1,"mean","5",24.03125,0
"182","HREC","4","2017",0,"mean","5",24.140625,0
"183","HREC","2","2018",1,"mean","5",20.9375,0
"184","HREC","2","2018",0,"mean","5",18.921875,0
"185","HREC","3","2018",1,"mean","5",19.890625,0
"186","HREC","3","2018",0,"mean","5",23.828125,0
"187","HREC","4","2018",1,"mean","5",16.796875,0
"188","HREC","4","2018",0,"mean","5",23.5,0
"189","MCLA","1","2017",1,"mean","5",18.265625,0
"190","MCLA","1","2017",0,"mean","5",20.1875,0
"191","MCLA","2","2017",1,"mean","5",18.015625,0
"192","MCLA","2","2017",0,"mean","5",14.5625,0
"193","MCLA","3","2017",1,"mean","5",14.734375,0
"194","MCLA","3","2017",0,"mean","5",16.25,0
"195","MCLA","4","2017",1,"mean","5",12.421875,0
"196","MCLA","4","2017",0,"mean","5",12.34375,0
"197","MCLA","1","2018",1,"mean","5",16.953125,0
"198","MCLA","1","2018",0,"mean","5",15.375,0
