Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,VicSat,GerDis,TriLobed,ClaPer,Bare,Step,GalPar,Medicago,FuzzyGreen,CerGlo,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,1,1,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,1,,3,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,1,2,3,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,3,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,2,3,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,2,3,,,3,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,2,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,3,3,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,3,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GerDis,VicSat,Medicago,GerMol,ClaPer,TriLobed,CerGlo,UnkAster,GalPar,YellowApiaceae,Bare,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,1,1,1,1,3,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,3,3,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,3,3,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,3,4,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,3,4,3,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,3,3,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,3,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,3,3,3,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,3,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,4,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,4,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,4,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,4,3,,2,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,4,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,4,3,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,4,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,ClaPer,GerDis,VicSat,GerMol,TriLobed,CerGlo,GalPar,FuzzyGreen,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,1,1,1,1,5,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,5,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,,,3,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,5,2,,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,,,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,,,3,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,,,3,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,1,,3,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,3,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,2,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,3,,4,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,4,,3,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,4,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,GerDis,GerMol,TriLobed,GalPar,VicSat,Bare,CerGlo,UnkAster,ClaPur,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,1,1,1,1,7,,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,7,,3,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,7,,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,7,3,3,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,7,3,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,7,3,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,7,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,,3,,,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,8,,2,,,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,,2,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,8,3,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,8,3,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,8,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
