Site,Block,Plot,ID,X ,Y,Number,0 cm,2.5 cm,5.0 cm,7.5 cm,10.0 cm,12.5 cm,15.0 cm,17.5 cm,20.0 cm,22.5 cm,25.0 cm,27.5 cm,30.0 cm,32.5 cm,35.0 cm,37.5 cm,40.0 cm,42.5 cm,45.0 cm,Cone Size
MCL,4,1,1,1,1,N= 1 ,414,656,1898,2346,2070,1587,1828,1414,932,656,656,414,414,483,586,586,586,656,0,1/2 Inch
MCL,4,1,2,2,1,N= 2 ,34,34,1346,2001,1932,1346,2070,1208,690,552,690,586,552,656,552,586,897,0,0,1/2 Inch
MCL,4,1,3,3,1,N= 3 ,0,0,414,1760,1932,1690,1484,1518,1656,1070,862,862,1000,897,690,621,448,621,448,1/2 Inch
MCL,4,1,4,4,1,N= 4 ,276,448,828,1070,1276,1173,2001,1311,1311,1208,1138,1138,1104,1070,1208,1484,1449,1725,1725,1/2 Inch
MCL,4,1,5,5,1,N= 5 ,276,276,621,794,862,966,1000,828,724,690,862,1104,1070,1138,2380,0,0,0,0,1/2 Inch
MCL,4,1,6,6,1,N= 6 ,172,414,862,1449,1518,1346,1311,1104,932,794,966,1104,1173,1104,1242,2346,2691,1863,0,1/2 Inch
MCL,4,1,7,7,1,N= 7 ,483,828,1656,1690,1449,862,759,345,414,690,1000,897,1070,932,0,0,0,0,0,1/2 Inch
MCL,4,1,8,8,1,N= 8 ,414,656,1794,2001,1898,966,932,1070,1000,794,759,759,1000,1104,1242,1760,2070,0,0,1/2 Inch
MCL,4,1,9,1,2,N= 9 ,414,552,1104,1138,862,690,759,690,724,759,759,828,1656,1863,1863,1622,2036,0,0,1/2 Inch
MCL,4,1,10,2,2,N= 10 ,586,724,1346,2691,2242,1725,1932,1966,1449,1449,1760,1518,1242,1311,1242,1208,1656,0,0,1/2 Inch
MCL,4,1,11,3,2,N= 11 ,1173,1690,1828,1242,1208,1242,1138,897,897,828,690,621,724,794,828,1000,897,1208,1414,1/2 Inch
MCL,4,1,12,4,2,N= 12 ,414,1173,1863,1725,932,932,1173,1000,690,828,1000,897,897,1000,1138,1173,1276,1690,1690,1/2 Inch
MCL,4,1,13,5,2,N= 13 ,448,794,1622,2139,1690,1276,1208,1173,897,966,1070,0,0,0,0,0,0,0,0,1/2 Inch
MCL,4,1,14,6,2,N= 14 ,310,310,310,656,1138,1000,794,483,414,345,345,414,380,380,380,380,345,345,552,1/2 Inch
MCL,4,1,15,7,2,N= 15 ,0,0,0,242,414,897,1000,862,794,656,586,586,586,552,552,586,656,724,966,1/2 Inch
MCL,4,1,16,8,2,N= 16 ,276,276,310,380,380,483,966,828,552,552,448,380,380,345,310,380,483,483,414,1/2 Inch
MCL,4,1,17,1,3,N= 17 ,552,483,1346,1518,1104,1000,794,862,828,828,897,759,621,724,724,828,932,1104,1346,1/2 Inch
MCL,4,1,18,2,3,N= 18 ,690,966,1622,1518,1173,759,828,862,932,794,552,552,794,794,1000,1138,1242,1794,2760,1/2 Inch
MCL,4,1,19,3,3,N= 19 ,138,414,862,1622,1656,1828,1725,1208,1173,1104,897,656,586,586,690,690,656,690,862,1/2 Inch
MCL,4,1,20,4,3,N= 20 ,552,932,1138,1138,897,483,552,966,1173,932,724,2036,2277,2036,1725,2174,0,0,0,1/2 Inch
MCL,4,1,21,5,3,N= 21 ,448,656,932,1484,1276,1242,1276,1173,1070,932,862,966,932,862,897,897,1070,1138,1242,1/2 Inch
MCL,4,1,22,6,3,N= 22 ,345,552,1208,1518,1346,1070,1104,897,483,380,414,448,448,552,448,414,448,483,552,1/2 Inch
MCL,4,1,23,7,3,N= 23 ,345,483,690,1138,1311,1000,794,794,690,552,448,448,414,448,448,448,448,448,448,1/2 Inch
MCL,4,1,24,8,3,N= 25 ,380,310,759,1311,897,724,690,828,483,414,310,310,380,552,690,724,862,966,1276,1/2 Inch
MCL,4,1,25,1,4,N= 26 ,380,724,1794,2588,2001,1828,1138,966,932,1863,2036,1208,2588,0,0,0,0,0,0,1/2 Inch
MCL,4,1,26,2,4,N= 27 ,690,1208,1725,1414,1587,1863,1414,1380,1173,690,0,0,0,0,0,0,0,0,0,1/2 Inch
MCL,4,1,27,3,4,N= 28 ,448,759,1518,1622,1484,897,794,690,621,552,552,483,552,621,794,828,828,828,828,1/2 Inch
MCL,4,1,28,4,4,N= 35 ,621,656,1380,1863,1898,1311,1242,1000,724,897,690,621,759,828,828,828,966,1070,932,1/2 Inch
MCL,4,1,29,5,4,N= 29 ,656,656,1656,2174,2070,1484,897,1208,828,794,690,552,552,690,656,586,586,656,656,1/2 Inch
MCL,4,1,30,6,4,N= 30 ,414,586,1518,1828,1380,1138,897,966,828,794,1622,1449,1449,862,552,656,794,1000,1208,1/2 Inch
MCL,4,1,31,7,4,N= 31 ,483,448,897,1173,1656,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,1/2 Inch
MCL,4,1,32,8,4,N= 32 ,448,897,1414,1725,1414,1380,1242,690,552,586,621,621,621,656,690,690,656,656,690,1/2 Inch
MCL,4,1,33,1,5,N= 33 ,172,138,172,138,104,276,448,414,586,690,759,862,794,759,690,586,621,690,690,1/2 Inch
MCL,4,1,34,2,5,N= 34 ,207,345,656,1656,1484,897,690,586,448,552,656,828,759,759,586,483,414,448,621,1/2 Inch
MCL,4,1,35,3,5,N= 36 ,656,794,1622,2242,1725,1690,1518,1104,1138,828,828,828,759,724,794,897,1173,966,1380,1/2 Inch
MCL,4,1,36,4,5,N= 37 ,656,621,932,1760,1863,1656,1346,690,586,552,414,414,483,448,345,414,483,552,586,1/2 Inch
MCL,4,1,37,5,5,N= 38 ,552,724,1828,2070,1725,1276,1311,932,828,759,690,690,897,897,1000,966,1070,1000,1070,1/2 Inch
